model_and_part,layer_idx,s_values,unfolding_mode,keep
bart_fc2_decoder,0,"[9.936944  6.4976125 6.088748  5.3532734 5.323257  5.295737  5.2927017
 5.286323  5.2721276 5.2349424 5.223193  5.2161407 5.20774   5.201367
 5.1893115 5.1837654 5.155541  5.146173  5.1438394 5.122933  5.1182714
 5.111488  5.102869  5.0928254 5.0888596 5.087436  5.0730214 5.0614057
 5.059902  5.0451646 5.0420623 5.0376697 5.024718  5.0149302 5.006272
 5.003391  5.001375  4.9880595 4.9847493 4.9713435 4.9635096 4.9617
 4.946533  4.942     4.937422  4.931098  4.9253035 4.921599  4.9176383
 4.9104543 4.9040003 4.899023  4.8890452 4.8814516 4.879098  4.8704553
 4.8682475 4.8611813 4.8545365 4.8519106 4.8420978 4.840506  4.8361626
 4.82867   4.8203397 4.8093324 4.801606  4.799284  4.7944183 4.785295
 4.7833624 4.7764454 4.772995  4.7704983 4.7605486 4.7567387 4.750996
 4.745386  4.7374573 4.729085  4.7278004 4.7228293 4.718339  4.710905
 4.701805  4.6949224 4.6900387 4.6854706 4.680143  4.676222  4.6744823
 4.666098  4.662394  4.6581016 4.6509004 4.638586  4.636068  4.6336527
 4.627407  4.6250215 4.619338  4.613861  4.607444  4.6032143 4.5981054
 4.594626  4.5864983 4.5834827 4.572306  4.570983  4.568069  4.5634103
 4.556176  4.551212  4.548997  4.5415707 4.5393276 4.5350156 4.5264564
 4.5261245 4.5215735 4.5126843 4.5068955 4.5015283 4.494696  4.4915805
 4.4874425 4.4824157 4.4795523 4.477178  4.4730234 4.4663734 4.4629784
 4.459943  4.453946  4.45286   4.4426255 4.437515  4.427407  4.42386
 4.416408  4.4122605 4.410544  4.4083967 4.4043155 4.4003243 4.394437
 4.390664  4.38342   4.373914  4.372849  4.368416  4.363405  4.361322
 4.3579273 4.3531084 4.342351  4.3419805 4.336816  4.3341594 4.324606
 4.322528  4.317214  4.312016  4.3082113 4.3054123 4.302843  4.295367
 4.291452  4.2818913 4.27838   4.2757525 4.272019  4.2692084 4.264768
 4.2585344 4.2524533 4.2502303 4.245391  4.2414503 4.233657  4.229777
 4.2264495 4.22412   4.220369  4.2103734 4.207622  4.2041593 4.1989813
 4.195608  4.191544  4.185719  4.177468  4.171364  4.1682153 4.1631656
 4.1552997 4.151634  4.1480374 4.1433306 4.1373243 4.135495  4.1332245
 4.126936  4.1238422 4.1170125 4.1117773 4.107223  4.0996666 4.0976095
 4.090981  4.086698  4.0798626 4.0760455 4.0733    4.067774  4.065046
 4.0612273 4.0569453 4.056478  4.0519238 4.0467243 4.0457115 4.040003
 4.0370708 4.033241  4.0253334 4.0210576 4.017919  4.0136743 4.0071836
 4.0015683 4.000435  3.996968  3.993944  3.983059  3.9802275 3.978344
 3.975097  3.967303  3.9615917 3.9559507 3.95252   3.9496999 3.94797
 3.9458494 3.9382594 3.9369087 3.9273722 3.9245179 3.9222903 3.9197352
 3.9120278 3.9082797 3.9062254 3.9014268 3.8992374 3.893229  3.890098
 3.8800206 3.8762217 3.875354  3.866597  3.8630335 3.856998  3.8524873
 3.8504667 3.8440752 3.838683  3.8364856 3.8292203 3.8226542 3.8213642
 3.8151464 3.813289  3.8066347 3.8045177 3.7968056 3.7947922 3.785467
 3.7850444 3.7837567 3.774704  3.7706654 3.7643757 3.7603123 3.759622
 3.7567992 3.7496068 3.742511  3.7330973 3.7311308 3.7281969 3.7210515
 3.7167802 3.712476  3.706673  3.7007592 3.6958396 3.6873674 3.6835475
 3.6810596 3.6768231 3.6724482 3.6681144 3.665782  3.6574674 3.6521041
 3.649745  3.6405458 3.6396217 3.6371946 3.6306522 3.6281466 3.620749
 3.6183808 3.6136982 3.61097   3.6050968 3.593062  3.5918596 3.5849383
 3.581387  3.5788383 3.5730386 3.5673933 3.564008  3.5557673 3.5455952
 3.5433037 3.539035  3.5331492 3.530973  3.5218256 3.5167506 3.5143433
 3.5057738 3.5020008 3.493815  3.4915931 3.4844806 3.4807642 3.4680288
 3.4631903 3.4577134 3.451868  3.4486053 3.446083  3.437789  3.4315636
 3.4254878 3.4226222 3.4147935 3.4056513 3.3993013 3.391125  3.379438
 3.369595  3.362998  3.3553438 3.3533585 3.351401  3.3416474 3.3384738
 3.3322957 3.3191452 3.3124545 3.309157  3.3079293 3.3006227 3.2848969
 3.2816727 3.2783663 3.2712576 3.2595923 3.257478  3.2469964 3.237076
 3.2350636 3.2208517 3.2035835 3.1909852 3.1839814 3.170322 ]",0,True
bart_fc2_decoder,0,[9.400691   5.8176737  5.3903933  ... 0.88997465 0.8804097  0.8707427 ],1,True
bart_fc2_decoder,0,"[10.325951   7.180022   6.901751   6.0969734  6.093076   6.05984
  6.0299215  6.007318   5.992585   5.989491   5.977591   5.949593
  5.9404497  5.9224563  5.913167   5.907278   5.898953   5.8835554
  5.878615   5.8762546  5.862903   5.8540893  5.841599   5.832339
  5.8235145  5.814396   5.8120666  5.8063583  5.792923   5.7901683
  5.7782125  5.76528    5.761468   5.760262   5.747708   5.7367997
  5.724693   5.722568   5.7168746  5.710639   5.6988683  5.696187
  5.6857033  5.6817374  5.6780205  5.674458   5.662511   5.6593895
  5.650014   5.638603   5.632653   5.627898   5.620965   5.6086926
  5.6036587  5.595637   5.58517    5.582694   5.5767207  5.5706186
  5.562245   5.558436   5.555727   5.541724   5.5396514  5.5240884
  5.518527   5.515568   5.508202   5.5027714  5.495703   5.4768076
  5.471536   5.46942    5.465741   5.4621935  5.455939   5.4457865
  5.4401193  5.4340816  5.430879   5.4218946  5.421463   5.414273
  5.4061613  5.4013777  5.3975     5.391813   5.3885856  5.378911
  5.3755608  5.3660927  5.364299   5.3495045  5.3388667  5.3368645
  5.334223   5.3312325  5.3166027  5.314803   5.3045316  5.2988925
  5.2954955  5.2864356  5.2811704  5.273256   5.267854   5.2621126
  5.258982   5.25475    5.2461863  5.243821   5.2408667  5.23062
  5.222025   5.2167945  5.215136   5.209753   5.2032404  5.201348
  5.1987457  5.194462   5.1852803  5.1810555  5.172246   5.1660113
  5.1638455  5.15824    5.1551     5.149774   5.141889   5.127389
  5.125375   5.1229835  5.118633   5.112252   5.105826   5.098833
  5.096667   5.0960803  5.084262   5.0769124  5.076341   5.06764
  5.0633044  5.0587597  5.0533853  5.0492644  5.0400324  5.036757
  5.031858   5.0276465  5.0218034  5.017058   5.010364   5.007026
  4.9975615  4.996355   4.9860067  4.9792295  4.974465   4.9680758
  4.9611144  4.9548855  4.9510136  4.946687   4.9396043  4.932841
  4.930193   4.925865   4.910055   4.9038796  4.90157    4.8932962
  4.891328   4.889545   4.884517   4.8793025  4.8725724  4.8634124
  4.8597083  4.8543816  4.8485074  4.842071   4.836933   4.8362827
  4.833252   4.82981    4.8135567  4.800836   4.795386   4.7889233
  4.787983   4.787295   4.7792234  4.774294   4.7700834  4.7621183
  4.7614737  4.746798   4.7464046  4.7373614  4.734014   4.730452
  4.7213874  4.7133965  4.7128654  4.7050834  4.6979046  4.684055
  4.6828127  4.675053   4.667484   4.6658564  4.652186   4.651577
  4.6492314  4.642366   4.6409535  4.621542   4.6205816  4.6177044
  4.6084523  4.6024313  4.597309   4.5941978  4.584844   4.5726624
  4.5648813  4.555738   4.5523186  4.5367765  4.535622   4.531112
  4.5227613  4.5202427  4.505113   4.503403   4.487564   4.4791956
  4.4700933  4.4651966  4.463642   4.448918   4.435852   4.428102
  4.420818   4.414279   4.396601   4.381949   4.381137   4.3659744
  4.3419604  4.3350716  4.3251047  4.3015037]",2,True
bart_fc2_decoder,1,"[16.42319    7.935837   5.1499314  4.6907897  4.6150723  4.592796
  4.5745687  4.551259   4.528934   4.495865   4.4846926  4.471967
  4.4631653  4.452926   4.4505005  4.4404364  4.4275103  4.414935
  4.3972907  4.3879743  4.382135   4.3803906  4.37433    4.369663
  4.360288   4.3582797  4.34185    4.3378353  4.331962   4.324846
  4.3180585  4.3049455  4.302061   4.2963758  4.287367   4.280259
  4.277298   4.260077   4.255229   4.2512045  4.241828   4.236875
  4.2325406  4.230023   4.2258573  4.2161055  4.2096076  4.2040224
  4.199558   4.1949873  4.188848   4.1821775  4.177672   4.169093
  4.164576   4.1620884  4.155039   4.1497645  4.1473165  4.138147
  4.1369047  4.132379   4.1301193  4.1244946  4.117996   4.1125093
  4.107914   4.1054573  4.103002   4.0987763  4.0836153  4.079911
  4.0732007  4.069709   4.0655904  4.0607142  4.0570235  4.0523233
  4.048927   4.041321   4.036577   4.034201   4.0264306  4.0212173
  4.016262   4.0143523  4.0116644  4.001372   3.9989522  3.9918551
  3.988892   3.9772947  3.9740705  3.9704173  3.9576871  3.9549544
  3.9545453  3.9511147  3.9469345  3.9457579  3.9388492  3.9365218
  3.9303653  3.9288373  3.9249766  3.9171135  3.9163697  3.910177
  3.9053037  3.8996186  3.8944545  3.8917563  3.8878822  3.8826287
  3.877991   3.873228   3.8724055  3.8699288  3.8690753  3.862686
  3.8568058  3.854491   3.8503125  3.8463082  3.8430545  3.8383217
  3.8364224  3.833507   3.8240614  3.815435   3.8101077  3.8061004
  3.802347   3.797782   3.7940655  3.79004    3.7881114  3.7843878
  3.7835298  3.7751966  3.7677538  3.765284   3.762785   3.75819
  3.748281   3.7445462  3.7416933  3.7363768  3.7341247  3.729744
  3.728084   3.7225783  3.7187114  3.7167697  3.714513   3.705612
  3.7025447  3.7009306  3.695456   3.692703   3.691106   3.6872735
  3.6848493  3.6801314  3.6767955  3.673934   3.6663408  3.661895
  3.6581318  3.6515746  3.6495373  3.6463258  3.6453092  3.6376002
  3.6351173  3.6332183  3.6228     3.6210504  3.6197588  3.6159043
  3.6130545  3.6060913  3.6003659  3.5998864  3.5958683  3.5918798
  3.5847604  3.5814807  3.580251   3.5715027  3.5693505  3.5645423
  3.5612402  3.5586932  3.5532813  3.5499787  3.5474248  3.54137
  3.5389667  3.5377533  3.5315058  3.5289319  3.5252209  3.5188527
  3.5155637  3.5102482  3.5078375  3.5049548  3.496492   3.4937632
  3.4916337  3.490029   3.485641   3.4844205  3.4783523  3.4755836
  3.471156   3.470267   3.4685938  3.462427   3.4585385  3.4526687
  3.448598   3.4439652  3.4420228  3.4413412  3.4343996  3.4298859
  3.4279668  3.4210339  3.4188209  3.4167907  3.410162   3.4093518
  3.4062068  3.4022472  3.4004638  3.3951201  3.3941128  3.3901126
  3.3848703  3.3840861  3.379527   3.3725293  3.3691304  3.36709
  3.3642442  3.3615787  3.3562496  3.3502212  3.3457823  3.3408964
  3.3370912  3.329129   3.3274057  3.322692   3.321579   3.3180082
  3.3127644  3.3087118  3.3014061  3.298525   3.2982147  3.2969005
  3.2886226  3.288124   3.2828572  3.281317   3.2760186  3.268395
  3.2635798  3.260732   3.256356   3.2546642  3.2528718  3.2472265
  3.2459247  3.239097   3.2343383  3.2324247  3.2308846  3.2242587
  3.2152836  3.2139544  3.2082279  3.1997204  3.1972287  3.1948924
  3.19128    3.1899414  3.1862955  3.181232   3.1777258  3.1726868
  3.1651542  3.1601243  3.158138   3.1536577  3.1515663  3.1470406
  3.1427588  3.137926   3.1340709  3.1304474  3.127826   3.117838
  3.113219   3.1129813  3.1083345  3.1052413  3.103877   3.099921
  3.0960152  3.0941029  3.083372   3.0787077  3.075845   3.071121
  3.0698726  3.063183   3.0627813  3.06028    3.0506856  3.0478816
  3.0463953  3.0419383  3.0381188  3.0344245  3.0256069  3.022861
  3.0167253  3.0099132  3.0056336  3.0007668  2.9981291  2.9945343
  2.9908416  2.985569   2.9818046  2.9801133  2.9723988  2.966022
  2.9609008  2.953234   2.9445949  2.937438   2.9348028  2.9309165
  2.926943   2.9240823  2.9206378  2.9116898  2.9093683  2.904088
  2.8992307  2.8928342  2.8869877  2.882352   2.8797908  2.8720782
  2.8672574  2.8598816  2.8572176  2.853534   2.842622   2.8348236
  2.8312807  2.8259435  2.8157067  2.8133588  2.8087835  2.8004448
  2.793467   2.7790477  2.7763772  2.7639983  2.7596998  2.750468
  2.745035   2.7403529  2.732648   2.7218106  2.7066798  2.7044148]",0,True
bart_fc2_decoder,1,"[16.22113     7.559426    4.9083467  ...  0.7501975   0.74840605
  0.7409598 ]",1,True
bart_fc2_decoder,1,"[16.615297   8.381305   6.0011935  5.2684875  5.218051   5.1766624
  5.1612244  5.1582026  5.1355886  5.1184044  5.11348    5.103701
  5.0887933  5.079037   5.065869   5.053385   5.0463853  5.0393376
  5.030498   5.023029   4.9994135  4.997692   4.9876456  4.983984
  4.97608    4.9700294  4.958879   4.94414    4.9348035  4.9319444
  4.9249363  4.9152646  4.9126353  4.9092484  4.900777   4.896146
  4.8894234  4.884854   4.878955   4.872328   4.869493   4.865665
  4.862637   4.8486495  4.8421006  4.8286157  4.821862   4.8158937
  4.8121057  4.8078775  4.8003416  4.792967   4.786641   4.779606
  4.778701   4.7732935  4.769023   4.757736   4.756714   4.75169
  4.74481    4.740478   4.7345576  4.7288322  4.722191   4.7122664
  4.709685   4.6995544  4.697861   4.693651   4.6921873  4.69063
  4.6850843  4.675817   4.6685767  4.662877   4.660574   4.653385
  4.6511354  4.641338   4.6362853  4.631262   4.6219954  4.621052
  4.614221   4.608305   4.6025877  4.5963984  4.59373    4.590302
  4.5852365  4.5808897  4.5775456  4.5708294  4.565085   4.5610423
  4.5584555  4.553129   4.5475655  4.543095   4.5373325  4.5319667
  4.5304604  4.529461   4.5234613  4.51338    4.506781   4.5041175
  4.4992785  4.4931226  4.488757   4.4839344  4.47841    4.473004
  4.4660597  4.46252    4.4550934  4.4543595  4.4489493  4.446377
  4.43871    4.4338903  4.433617   4.4287634  4.4177732  4.40819
  4.4051943  4.3991547  4.3933115  4.3902454  4.3852925  4.3795
  4.3742127  4.370408   4.3681135  4.3639326  4.3600984  4.345965
  4.3438106  4.3407664  4.338086   4.336802   4.329243   4.327054
  4.3212266  4.3151326  4.311131   4.309855   4.29969    4.2957225
  4.291614   4.2889037  4.285902   4.2781553  4.274351   4.2710056
  4.265918   4.260492   4.2582297  4.255748   4.249723   4.2467136
  4.241154   4.2356744  4.2240562  4.2235355  4.219947   4.2106676
  4.206263   4.2005973  4.195268   4.188631   4.1846814  4.1824107
  4.178578   4.176977   4.167944   4.1634946  4.157778   4.1536436
  4.1456017  4.141555   4.137614   4.1311345  4.126458   4.122386
  4.1191015  4.118172   4.103807   4.1027603  4.097696   4.093053
  4.084919   4.0827155  4.0797567  4.075406   4.073      4.064941
  4.05817    4.057131   4.043873   4.0424237  4.0355988  4.033315
  4.022462   4.0194726  4.0188713  4.006948   3.99955    3.9945223
  3.9862554  3.980031   3.9766116  3.9733605  3.9668534  3.9652727
  3.9563842  3.9532113  3.9472795  3.940398   3.9381196  3.9357753
  3.9263651  3.9217668  3.911717   3.9060965  3.8979838  3.894284
  3.8886342  3.8824792  3.8773909  3.8731768  3.8659072  3.8627033
  3.860493   3.8493435  3.840278   3.8365948  3.83144    3.8210857
  3.8152165  3.8089592  3.8047154  3.791979   3.7888682  3.7698693
  3.766567   3.752288   3.7514133  3.7374785  3.715609   3.697178
  3.6817703  3.677466   3.6742833  3.66569  ]",2,True
bart_fc2_decoder,2,"[9.29079   8.642329  4.51218   4.3881993 4.3296027 4.285598  4.238692
 4.214437  4.1650167 4.1606526 4.1393275 4.1286044 4.123623  4.1163106
 4.093291  4.076111  4.0684857 4.060472  4.0586276 4.054619  4.043087
 4.0310855 4.029591  4.0080247 4.0013003 3.999638  3.9949138 3.9844716
 3.98285   3.972235  3.9667814 3.96066   3.958254  3.9529035 3.949238
 3.9331293 3.921444  3.919674  3.9131305 3.902182  3.8994381 3.8926837
 3.8906403 3.8741968 3.8726318 3.8675559 3.8602633 3.8570974 3.8498874
 3.8451898 3.8429163 3.8399456 3.832937  3.82464   3.8156857 3.8142574
 3.8108056 3.801901  3.7996314 3.7912345 3.7864265 3.784989  3.7800477
 3.7726207 3.7708933 3.7663834 3.758757  3.7572215 3.755998  3.749253
 3.741085  3.7338269 3.733588  3.7287405 3.7254272 3.7209918 3.7164695
 3.7148392 3.7081902 3.7058651 3.7005725 3.6930585 3.6840866 3.6823344
 3.6793451 3.6769345 3.672862  3.66764   3.6660886 3.6635492 3.6566246
 3.654071  3.6514316 3.6405723 3.6378374 3.6339684 3.6239662 3.6228516
 3.6199229 3.612058  3.6077654 3.6044261 3.601418  3.5972562 3.593765
 3.5902007 3.585656  3.5816653 3.5803828 3.5763583 3.569914  3.568588
 3.567207  3.5597515 3.555126  3.5543973 3.5459542 3.5449378 3.5379283
 3.5336144 3.531618  3.5241501 3.5221407 3.5210843 3.514195  3.5123816
 3.5096471 3.5052783 3.5038762 3.4967124 3.492633  3.4902523 3.4860919
 3.482229  3.4757965 3.4735417 3.4715662 3.466129  3.4633846 3.4591746
 3.4553194 3.453993  3.4469666 3.443319  3.4399083 3.437833  3.4322681
 3.4314766 3.427272  3.419885  3.4161224 3.414594  3.4086525 3.4035022
 3.401218  3.3962169 3.3891323 3.3867977 3.3853347 3.381798  3.376504
 3.3713984 3.3674963 3.3623948 3.3588405 3.3575525 3.3538566 3.351987
 3.3502765 3.3418717 3.337601  3.3346372 3.3323224 3.3238022 3.3218362
 3.3178172 3.3139396 3.311684  3.3103576 3.3072307 3.3004787 3.2982302
 3.2966144 3.2883089 3.282027  3.2813768 3.2772648 3.2751837 3.2728047
 3.267376  3.2643213 3.262336  3.2563663 3.2520182 3.25133   3.2436502
 3.2413006 3.2402089 3.2379172 3.2350278 3.2316682 3.2265334 3.2252922
 3.2226708 3.2166693 3.2144804 3.2138112 3.2117298 3.2074647 3.2015238
 3.1965    3.194411  3.1936178 3.1880517 3.1848671 3.1823187 3.1791928
 3.1727643 3.1701584 3.1663058 3.1606917 3.1562207 3.1519673 3.1489906
 3.1476333 3.1442194 3.1426244 3.140155  3.1318877 3.1305475 3.1286938
 3.1254    3.1213264 3.1159127 3.1096468 3.105667  3.1004477 3.0987284
 3.095717  3.0920267 3.0903049 3.0866928 3.082029  3.0780964 3.0762541
 3.071801  3.068688  3.064296  3.0565083 3.0521436 3.051541  3.0458324
 3.0434866 3.0400689 3.0358024 3.0323927 3.029777  3.0253847 3.022955
 3.0213692 3.0172567 3.0158885 3.0122678 3.0070772 3.0022414 2.9979377
 2.9951556 2.9891078 2.98355   2.980908  2.9805672 2.977037  2.9735942
 2.969049  2.9664237 2.9591415 2.9564755 2.9553564 2.95268   2.9483185
 2.9456465 2.9427557 2.9402995 2.9368029 2.9360483 2.9307952 2.9292502
 2.9228616 2.9198956 2.912688  2.908565  2.9060585 2.9018526 2.8976934
 2.8947227 2.8925714 2.8892205 2.8841753 2.8836493 2.8779812 2.8740947
 2.8715312 2.8666341 2.863611  2.8570576 2.8563125 2.846519  2.845658
 2.8398945 2.8368227 2.8344035 2.8311098 2.8285568 2.8229003 2.8153307
 2.811805  2.8102145 2.8058732 2.8022273 2.8011818 2.7986867 2.7944717
 2.786988  2.7785785 2.774845  2.7700303 2.7667055 2.7611861 2.7587683
 2.7555966 2.7525854 2.7505076 2.7423394 2.7418425 2.7368152 2.7328317
 2.7295036 2.7233517 2.7200582 2.7185056 2.7114122 2.7089534 2.704588
 2.6998405 2.693907  2.690433  2.6876376 2.6798596 2.677622  2.676111
 2.6681795 2.664737  2.6577592 2.6546538 2.6509955 2.6386936 2.6380546
 2.6354566 2.623418  2.6213002 2.6150637 2.611463  2.6083934 2.605949
 2.5954385 2.5899203 2.587113  2.5763428 2.5739164 2.5720358 2.565038
 2.5644307 2.5578842 2.5506282 2.5374177 2.5360835 2.531506  2.5166433
 2.5125182 2.505365  2.4920492 2.4831574 2.4770415 2.4591148]",0,True
bart_fc2_decoder,2,[8.915997   8.385373   3.7795117  ... 0.68689394 0.6796887  0.6671466 ],1,True
bart_fc2_decoder,2,"[9.459125  9.008877  5.258738  5.0718174 5.0113597 4.943332  4.8609924
 4.8212943 4.807236  4.793913  4.7884045 4.7595477 4.7416453 4.7276497
 4.7116084 4.677853  4.6733327 4.6700993 4.6443453 4.628883  4.6178575
 4.60879   4.6056905 4.598886  4.591384  4.5823426 4.5694585 4.565047
 4.552853  4.546716  4.54168   4.524617  4.5124187 4.5034094 4.4984827
 4.4946065 4.489323  4.4825735 4.4780693 4.473863  4.4683084 4.45814
 4.4492445 4.44642   4.44364   4.4364295 4.4300437 4.422516  4.415352
 4.4089293 4.40079   4.394213  4.386935  4.383915  4.3796964 4.373862
 4.365245  4.3633327 4.3573036 4.344665  4.340607  4.338064  4.3354893
 4.3249664 4.320992  4.3164167 4.314312  4.3128614 4.302587  4.295988
 4.2880917 4.2867484 4.2834764 4.2795305 4.276457  4.2716274 4.2659216
 4.259876  4.253605  4.24882   4.2432213 4.2370553 4.2314544 4.22408
 4.2228312 4.217425  4.211869  4.20318   4.201262  4.1984596 4.1962557
 4.189204  4.183836  4.179518  4.173776  4.1688943 4.1628284 4.161883
 4.157778  4.1521626 4.1461816 4.142771  4.1334553 4.129231  4.128588
 4.1220107 4.1211653 4.112189  4.106227  4.1035933 4.1004157 4.08954
 4.0875864 4.086887  4.083281  4.0785823 4.0740056 4.067071  4.0625525
 4.0609336 4.054527  4.052909  4.046644  4.0421276 4.037507  4.0311723
 4.0279784 4.020767  4.014802  4.0127244 4.0093327 4.005984  4.004564
 3.996523  3.9915674 3.9892979 3.978523  3.9778297 3.9680343 3.964025
 3.9611192 3.9553576 3.9478238 3.945626  3.9428918 3.9382937 3.9322252
 3.9279032 3.9274669 3.9223344 3.917729  3.9113884 3.9046676 3.9025278
 3.8996172 3.8959727 3.888282  3.880824  3.8767467 3.8761795 3.8711634
 3.8667812 3.8634615 3.8583477 3.8559868 3.848662  3.8458695 3.8419108
 3.8396888 3.8266718 3.8258479 3.8216684 3.814955  3.8122768 3.8037193
 3.8019102 3.7926116 3.7891634 3.7865107 3.7835813 3.7810736 3.7762153
 3.772843  3.7690368 3.7604127 3.7590096 3.7524683 3.7478058 3.743853
 3.742283  3.7407708 3.7337599 3.7315564 3.723265  3.7162251 3.7128024
 3.7076046 3.7069283 3.6994398 3.6966815 3.6895666 3.6876876 3.6820824
 3.6805491 3.6784413 3.6655562 3.6603558 3.6549928 3.6511323 3.6446395
 3.6365669 3.6348946 3.627836  3.6259823 3.624481  3.6153815 3.6088917
 3.6011245 3.5998516 3.5968964 3.589914  3.5848174 3.5808716 3.579318
 3.570162  3.5638618 3.5556827 3.553767  3.5400739 3.5396082 3.53511
 3.528631  3.5249712 3.520743  3.512249  3.503099  3.501092  3.496144
 3.4879863 3.4864633 3.4713035 3.4650867 3.4561555 3.4538722 3.4506724
 3.4398136 3.4355829 3.424908  3.4167986 3.4133976 3.408294  3.3966007
 3.3857996 3.3692474 3.3452013 3.338743 ]",2,True
bart_fc2_decoder,3,"[9.460228  4.0905523 4.015179  4.0054917 3.9771273 3.947109  3.9353616
 3.9092922 3.895397  3.8901024 3.8744924 3.8681896 3.8559732 3.8430433
 3.8341277 3.8308606 3.8220344 3.8198075 3.8097014 3.8070757 3.795706
 3.7924185 3.781556  3.7773094 3.7734652 3.7638571 3.7579165 3.7570915
 3.7543514 3.746504  3.7374094 3.733374  3.7300925 3.7255402 3.7200785
 3.711703  3.70745   3.7041996 3.6886494 3.68777   3.6780853 3.6737003
 3.6694853 3.668146  3.657104  3.6501558 3.6491883 3.6432176 3.6378324
 3.6333086 3.6273553 3.6240315 3.6197085 3.614914  3.611783  3.5981736
 3.5939207 3.5887792 3.585356  3.5833342 3.5780456 3.5764751 3.5728045
 3.5705237 3.5640976 3.5617466 3.553484  3.5518126 3.5489128 3.5442502
 3.5404751 3.5342426 3.5316045 3.5250638 3.5200758 3.5168288 3.5099235
 3.5012734 3.494679  3.4920774 3.4876437 3.4824884 3.4796257 3.4765666
 3.475472  3.4712334 3.4643471 3.4627323 3.4587681 3.452486  3.4492674
 3.445548  3.4425607 3.4396217 3.4355292 3.4315677 3.4270215 3.4248266
 3.421917  3.4179792 3.4135454 3.4030993 3.4011934 3.4002717 3.3967402
 3.3855195 3.3850129 3.3798397 3.376413  3.3721845 3.3713655 3.3663266
 3.3623502 3.3610358 3.3513505 3.3489263 3.345014  3.3402247 3.336845
 3.3351283 3.3311276 3.3246272 3.3230712 3.3170264 3.3129375 3.3105295
 3.3089406 3.306409  3.3021865 3.298475  3.2933757 3.2926855 3.2901661
 3.2851758 3.2785957 3.2760139 3.2720811 3.2667804 3.262879  3.2596982
 3.2583032 3.2550266 3.2507963 3.2497127 3.2406564 3.2386107 3.2319052
 3.2289195 3.228417  3.225491  3.2225711 3.2135894 3.2113564 3.2086227
 3.206558  3.2019174 3.1982675 3.1965532 3.1928768 3.1923192 3.188201
 3.1837149 3.1809115 3.1770594 3.1737251 3.1690238 3.1655905 3.1648111
 3.1605382 3.1587086 3.1550074 3.1483738 3.1453214 3.144194  3.1419878
 3.1387775 3.1345613 3.1321738 3.128448  3.1250005 3.1224144 3.1187418
 3.114715  3.1093004 3.1031735 3.1019182 3.0989754 3.0961142 3.0929625
 3.090053  3.0859437 3.0807576 3.078472  3.0748854 3.071812  3.0688415
 3.0644994 3.061106  3.0607946 3.054794  3.0510776 3.0468972 3.0446649
 3.0375342 3.036527  3.0339305 3.031789  3.0278132 3.0244613 3.0210142
 3.0172815 3.0141888 3.0101686 3.0042872 3.0015922 2.998432  2.9962244
 2.994909  2.993066  2.9893095 2.9845893 2.9811885 2.9776964 2.9766643
 2.9717755 2.9677143 2.9637175 2.9634717 2.960696  2.9571042 2.9543388
 2.951276  2.9489493 2.945898  2.938748  2.9360564 2.9341667 2.9330952
 2.9293685 2.9257398 2.9230876 2.918447  2.9109287 2.9074507 2.9066741
 2.9045491 2.9018216 2.8953097 2.8904827 2.8879602 2.8835928 2.881332
 2.878834  2.8765569 2.870905  2.8687334 2.862471  2.8612711 2.8567266
 2.8544226 2.8498769 2.8455129 2.843205  2.8407955 2.838807  2.83715
 2.8328114 2.8301675 2.8278215 2.8244421 2.8176029 2.81564   2.8130598
 2.8089428 2.8061655 2.8033354 2.8006935 2.7934232 2.7899613 2.7864516
 2.7822351 2.7805674 2.775722  2.7748375 2.7711673 2.7658348 2.760757
 2.7594893 2.7568798 2.7547095 2.7506146 2.7442598 2.741653  2.7381525
 2.7356668 2.7340503 2.7284474 2.723438  2.7198122 2.7184973 2.7112608
 2.7084107 2.705428  2.702957  2.7000914 2.6975584 2.6905196 2.6879609
 2.6863918 2.680983  2.6784732 2.6752863 2.6696281 2.6673467 2.661707
 2.6558828 2.6555893 2.6515644 2.6492794 2.6482599 2.640905  2.6364784
 2.6347332 2.628146  2.6269321 2.618633  2.6179516 2.6145334 2.6071675
 2.6039867 2.600856  2.5975332 2.5919545 2.58801   2.584058  2.5816526
 2.5804837 2.5771246 2.5736916 2.5705981 2.5658355 2.5627694 2.5549054
 2.5507622 2.5502214 2.547112  2.5402    2.5396533 2.533699  2.526446
 2.520542  2.5189025 2.5167854 2.5078526 2.5044997 2.4986644 2.493091
 2.4913092 2.4868972 2.479732  2.4763079 2.4744048 2.4690037 2.4602847
 2.4578152 2.4536974 2.4468591 2.4432435 2.4370763 2.4332933 2.4247189
 2.4220223 2.4114423 2.40587   2.403778  2.4005246 2.3845239 2.3805544
 2.374061  2.3654053 2.3616555 2.347003  2.3407383 2.283676 ]",0,True
