model_and_part,layer_idx,s_values,unfolding_mode,keep
bart_fc1_encoder,0,"[8.207058  7.579177  6.992576  6.7425475 6.6744213 6.4260273 6.2774987
 6.110653  5.881313  5.7935486 5.7082105 5.522641  5.51216   5.475268
 5.461932  5.4411974 5.430975  5.4054317 5.3949056 5.392505  5.3661103
 5.3631597 5.353289  5.3387303 5.3378835 5.3238    5.302259  5.291437
 5.2894373 5.27951   5.2718453 5.2660556 5.2550178 5.249093  5.2374263
 5.232457  5.215764  5.2073736 5.2009497 5.1986823 5.1948695 5.1894836
 5.1816483 5.1749306 5.158525  5.1505656 5.1476674 5.1392407 5.131348
 5.124333  5.116829  5.11455   5.098852  5.092316  5.0788736 5.0766654
 5.0735474 5.0647736 5.061497  5.0511293 5.0415163 5.0303545 5.028229
 5.021157  5.014149  5.00873   5.0043983 4.996349  4.9904604 4.987246
 4.979966  4.9726157 4.9654074 4.9637704 4.9570756 4.950574  4.9428425
 4.9377136 4.9335    4.9222856 4.914824  4.9145536 4.9076695 4.903755
 4.896598  4.8892922 4.885047  4.884016  4.874474  4.8717723 4.8659377
 4.8589873 4.8547716 4.8488436 4.8374853 4.828317  4.826443  4.816664
 4.8152575 4.811762  4.8064847 4.802046  4.789247  4.786399  4.7804303
 4.7761703 4.768473  4.7627482 4.7597246 4.755996  4.7494082 4.7407346
 4.736479  4.730187  4.728676  4.7245526 4.7176523 4.7085304 4.705485
 4.7027173 4.700923  4.6952915 4.684452  4.6836457 4.680667  4.672477
 4.6604857 4.656842  4.654873  4.648392  4.6434493 4.633782  4.632
 4.6240225 4.621548  4.616937  4.612574  4.6026425 4.59742   4.5957875
 4.592914  4.587991  4.5800614 4.5734076 4.571169  4.5695434 4.565725
 4.563656  4.5576077 4.549567  4.54665   4.541525  4.529481  4.52881
 4.521193  4.519171  4.518519  4.5175047 4.5074906 4.505067  4.4986176
 4.487764  4.485105  4.478542  4.4765973 4.470857  4.4646764 4.461028
 4.455163  4.4526706 4.443521  4.4378624 4.4356446 4.433908  4.425429
 4.4202523 4.4173927 4.409073  4.406806  4.40255   4.3966813 4.3908286
 4.3863773 4.3813734 4.3744264 4.372762  4.369311  4.364318  4.361744
 4.3555036 4.348573  4.348168  4.343369  4.3394933 4.3340955 4.3255157
 4.3217487 4.3193617 4.315227  4.31038   4.306214  4.3029766 4.29354
 4.2890596 4.2862215 4.2823634 4.275961  4.271376  4.2653112 4.26338
 4.2589235 4.2501817 4.246654  4.2380247 4.234168  4.2309256 4.228831
 4.22587   4.2202744 4.216406  4.208005  4.2060285 4.1971908 4.189823
 4.1840687 4.178542  4.174928  4.173226  4.168182  4.1628504 4.1592207
 4.1509466 4.1476545 4.145409  4.1398196 4.130578  4.1291265 4.1207027
 4.1189218 4.112948  4.107665  4.106239  4.098455  4.0953918 4.093782
 4.090048  4.0816174 4.080866  4.071301  4.0693946 4.059464  4.0550537
 4.049767  4.047091  4.0461307 4.0409565 4.0326824 4.0243754 4.0207562
 4.0163527 4.015022  4.0086045 4.0039153 3.9986951 3.9959242 3.9904342
 3.98521   3.9819055 3.9802265 3.9782312 3.9644895 3.964196  3.953653
 3.9488225 3.946549  3.9401596 3.934438  3.9320016 3.9279199 3.923428
 3.9202821 3.9183478 3.912548  3.901936  3.8981035 3.8935196 3.8838813
 3.881544  3.8784127 3.8703814 3.866847  3.861541  3.8593822 3.8527982
 3.8502846 3.842231  3.8393624 3.8302128 3.827569  3.8202367 3.8193266
 3.8110056 3.809305  3.8030925 3.7981253 3.789564  3.7886837 3.783094
 3.7783315 3.7707026 3.762932  3.7591622 3.7563791 3.7451575 3.742287
 3.7395484 3.7362125 3.7299244 3.7251894 3.720789  3.7189834 3.706913
 3.703779  3.6932251 3.690761  3.6829574 3.680848  3.6745584 3.6683595
 3.665282  3.6571677 3.6469073 3.6408968 3.6382365 3.6321006 3.6292443
 3.625658  3.6159108 3.6147184 3.6084528 3.6011283 3.597625  3.589318
 3.5824888 3.5767725 3.5755422 3.5671751 3.5648532 3.5595431 3.547013
 3.5461156 3.537027  3.533318  3.527346  3.5216682 3.5084083 3.5041714
 3.5013573 3.4964638 3.4880068 3.4839587 3.4743543 3.471622  3.459387
 3.454552  3.4481733 3.4356737 3.4297445 3.4283729 3.423872  3.4094117
 3.3974245 3.3916519 3.3893979 3.3820963 3.367163  3.36004   3.3563604
 3.3553605 3.3340814 3.3208156 3.2832105 3.2804036 3.246998 ]",0,False
bart_fc1_encoder,0,[6.91184    6.4676895  6.0514627  ... 0.91536444 0.9138837  0.8952552 ],1,False
bart_fc1_encoder,0,"[8.259445  7.8464713 7.637799  7.492381  7.1839223 7.031837  6.813458
 6.7619824 6.658068  6.476834  6.4553933 6.3728943 6.353927  6.293899
 6.2601547 6.2428226 6.2226386 6.20594   6.1985703 6.1892915 6.183139
 6.166716  6.1521473 6.142908  6.129204  6.119533  6.1126738 6.104351
 6.096216  6.0897493 6.0822277 6.067709  6.054339  6.044451  6.0393972
 6.025717  6.017585  6.0166883 5.9907174 5.9846935 5.9720836 5.968723
 5.9594474 5.9544415 5.9440207 5.932632  5.930959  5.9160113 5.914175
 5.9081526 5.8978477 5.8804183 5.8732324 5.8680744 5.865957  5.858887
 5.847377  5.838725  5.832834  5.819443  5.8127036 5.8124986 5.7983284
 5.7964444 5.786529  5.776816  5.7684045 5.7577767 5.748386  5.744948
 5.7389665 5.732146  5.729713  5.720106  5.7102795 5.706127  5.6990027
 5.6913033 5.688982  5.6763625 5.6647415 5.6561785 5.6471515 5.6447067
 5.6384487 5.633649  5.631343  5.6300735 5.6181097 5.6103263 5.5976696
 5.592096  5.5889015 5.585125  5.5777416 5.5673246 5.56422   5.5598207
 5.5527515 5.541721  5.5338674 5.530205  5.5223584 5.516954  5.513178
 5.5060663 5.499549  5.4877963 5.4848714 5.4785957 5.4714837 5.4660516
 5.461911  5.4558425 5.451376  5.449543  5.4400563 5.4327374 5.4226384
 5.4199986 5.40881   5.4057713 5.3985295 5.395576  5.3909593 5.386821
 5.3854327 5.378152  5.3675413 5.3602133 5.3525434 5.348045  5.3372207
 5.3343873 5.3257346 5.317978  5.315257  5.3094587 5.302083  5.2924256
 5.2911687 5.286733  5.2800865 5.2744055 5.262425  5.2588315 5.25077
 5.247672  5.240051  5.2321115 5.216263  5.2092223 5.2052407 5.199948
 5.1955843 5.192119  5.1879654 5.1748924 5.1654296 5.163536  5.156856
 5.1538796 5.1490455 5.1404867 5.1313252 5.1249857 5.1215286 5.116014
 5.1087055 5.101162  5.0918345 5.0895214 5.07726   5.073546  5.0666738
 5.063068  5.0568643 5.04575   5.044326  5.0389895 5.0362935 5.024937
 5.022289  5.010277  5.006592  4.99314   4.9910626 4.9874234 4.9753532
 4.9731574 4.9632897 4.9594483 4.949927  4.9438705 4.9377847 4.9313707
 4.9278564 4.9184055 4.9090934 4.9026074 4.8975816 4.894152  4.8786016
 4.876032  4.8672223 4.859082  4.8582153 4.8524203 4.8495355 4.8399663
 4.8349013 4.8268595 4.8180366 4.813553  4.8108354 4.800773  4.7912316
 4.7841578 4.772864  4.7667046 4.7583265 4.7558656 4.750454  4.7389574
 4.7327642 4.7195215 4.7125506 4.697939  4.6870914 4.682919  4.6760454
 4.6720243 4.6567163 4.6510277 4.6442714 4.630635  4.624009  4.6179037
 4.611658  4.60896   4.5949636 4.5829887 4.571977  4.5552826 4.551863
 4.5271506 4.525967  4.512539  4.506749  4.496701  4.4928746 4.4762874
 4.4694486 4.4400387 4.4113116 4.3965116]",2,False
bart_fc1_encoder,1,"[9.4139185 7.8753104 7.7400446 7.6049967 7.3250284 7.1766543 6.6879497
 6.541316  6.371164  6.201993  6.0638595 5.833997  5.7539787 5.7023177
 5.6868124 5.669298  5.649685  5.637328  5.62246   5.6164393 5.6115017
 5.6049094 5.59933   5.5872726 5.5763936 5.572377  5.555087  5.547724
 5.5440435 5.5280213 5.5170856 5.5042844 5.500106  5.4952607 5.486835
 5.4715424 5.4643326 5.4524913 5.4482427 5.4423375 5.426244  5.420014
 5.414996  5.4109497 5.4042387 5.389945  5.385188  5.377705  5.3652143
 5.3625655 5.3558865 5.3479705 5.3449674 5.336647  5.330879  5.3185053
 5.308543  5.296239  5.2942853 5.291842  5.2788925 5.274398  5.268964
 5.265416  5.2592573 5.2550316 5.2495446 5.242469  5.2269506 5.2210336
 5.214734  5.2097216 5.2015686 5.1972704 5.1872716 5.179688  5.1749706
 5.169236  5.1632724 5.1577997 5.1526833 5.1451087 5.143891  5.1381464
 5.133158  5.1236777 5.1222377 5.1133833 5.1033764 5.0964317 5.090469
 5.085475  5.08344   5.074226  5.068391  5.0609627 5.0578938 5.050852
 5.048721  5.044397  5.0328207 5.0272865 5.025805  5.023203  5.014558
 5.0114274 5.0032897 4.9996476 4.9899073 4.9850397 4.982643  4.977576
 4.9725394 4.9636555 4.9615626 4.952724  4.949242  4.943962  4.9422493
 4.9316206 4.9217896 4.9203825 4.917127  4.9133334 4.907308  4.9023747
 4.893544  4.888614  4.882951  4.8752265 4.8699536 4.8672495 4.865393
 4.860746  4.852539  4.849575  4.838947  4.834656  4.830979  4.825815
 4.8208184 4.818429  4.8090305 4.806122  4.7989206 4.7887073 4.783309
 4.7811794 4.778304  4.7732983 4.7678313 4.763766  4.7548947 4.7514043
 4.7496657 4.741971  4.7290545 4.72662   4.718657  4.716027  4.7149277
 4.708856  4.706845  4.697552  4.6912684 4.6896124 4.6808195 4.6782727
 4.6755114 4.6732097 4.666785  4.663587  4.6568418 4.644126  4.6431975
 4.6396127 4.6308875 4.62712   4.623127  4.616892  4.6102986 4.6074386
 4.601491  4.595482  4.5917487 4.589264  4.5834174 4.5699353 4.5680532
 4.565243  4.557815  4.553044  4.546852  4.543633  4.5386734 4.533314
 4.529906  4.528408  4.526642  4.5211024 4.5140343 4.5060177 4.503798
 4.5005646 4.495424  4.4918175 4.4840736 4.481915  4.4805512 4.472156
 4.4657545 4.4621534 4.460796  4.456132  4.448042  4.4442115 4.4424167
 4.439173  4.426596  4.4238505 4.4210777 4.4171844 4.4139977 4.409361
 4.4050965 4.3956413 4.3919473 4.387514  4.3850055 4.3797126 4.376478
 4.370355  4.366304  4.361768  4.3512115 4.3448186 4.3363914 4.3360243
 4.328869  4.3213167 4.320631  4.315228  4.310854  4.3073397 4.2998953
 4.2959237 4.2826533 4.2789993 4.2737617 4.272606  4.266804  4.2612367
 4.2584376 4.253787  4.2507997 4.244907  4.2412343 4.240509  4.228074
 4.2271376 4.219348  4.213703  4.2090096 4.2045717 4.203019  4.199587
 4.191882  4.185649  4.181053  4.1768365 4.1717677 4.167293  4.1595626
 4.153516  4.1507163 4.143867  4.140761  4.139583  4.134577  4.125585
 4.1200213 4.1154265 4.1123734 4.1024055 4.098745  4.0932546 4.0879183
 4.0840774 4.08082   4.0769205 4.072369  4.0595865 4.0549674 4.052451
 4.0466957 4.042204  4.035449  4.030636  4.0282917 4.026469  4.0213118
 4.012503  4.012078  4.000222  3.9968615 3.9950173 3.9883559 3.9854214
 3.9785197 3.9695578 3.967465  3.9624767 3.953047  3.9462383 3.9436445
 3.9385142 3.9329438 3.9264555 3.924028  3.9133663 3.9129632 3.9055748
 3.9042637 3.8943014 3.8887222 3.885973  3.8760529 3.8726838 3.863046
 3.86093   3.8465235 3.8448143 3.8391042 3.835952  3.829734  3.8250897
 3.8221612 3.8121598 3.8053343 3.802387  3.800536  3.7803683 3.7799187
 3.7750154 3.772912  3.7656455 3.7616003 3.75225   3.7464292 3.7347558
 3.7323737 3.7262383 3.7174327 3.70828   3.7030406 3.7024517 3.6876135
 3.679507  3.6738586 3.6701062 3.6622272 3.6513371 3.6458158 3.6370218
 3.6266441 3.6154506 3.6098096 3.6025627 3.586691  3.580481  3.5745244
 3.560294  3.5518153 3.5486505 3.5406394 3.532317  3.5240693 3.512352
 3.5053983 3.5007644 3.4823282 3.4683712 3.4645333 3.4390473]",0,False
bart_fc1_encoder,1,[8.397044   6.8556523  6.5611787  ... 0.9694077  0.9633533  0.95557326],1,False
bart_fc1_encoder,1,"[9.351199  8.552443  8.152975  7.9391155 7.705059  7.5439925 7.367762
 7.2735257 7.0877953 7.0163813 6.8255825 6.766289  6.69201   6.633974
 6.58856   6.5730543 6.5540676 6.534273  6.5124288 6.492066  6.480113
 6.459639  6.4419756 6.435156  6.428185  6.4155893 6.4075933 6.388141
 6.384025  6.374378  6.359951  6.3515563 6.335916  6.3258085 6.3172607
 6.3044024 6.2986054 6.2968946 6.2855725 6.2755594 6.2677345 6.2597923
 6.252514  6.24186   6.2317715 6.2255564 6.2065    6.20096   6.191435
 6.1860547 6.179941  6.168929  6.1633987 6.156523  6.1441393 6.138033
 6.123571  6.1189785 6.10949   6.0985847 6.0948563 6.0915647 6.0774083
 6.0594854 6.0557837 6.0508966 6.0494013 6.034734  6.027368  6.018716
 6.0110846 6.0095744 5.9906263 5.986928  5.980899  5.97068   5.963055
 5.959702  5.9541807 5.9480405 5.9361677 5.9326077 5.916426  5.915484
 5.9074554 5.9038215 5.899568  5.8916364 5.882175  5.8735228 5.870807
 5.8687167 5.8564444 5.847317  5.838583  5.8317327 5.8294816 5.822943
 5.8134384 5.806626  5.801278  5.7932315 5.7920904 5.7837996 5.777923
 5.764307  5.758444  5.7564673 5.752464  5.7425714 5.7419877 5.7341037
 5.7290564 5.723265  5.715029  5.7041035 5.697648  5.6897664 5.685589
 5.678789  5.67389   5.66792   5.666856  5.654378  5.6519895 5.6395307
 5.6386895 5.6258755 5.621486  5.6131487 5.6082354 5.5952115 5.5941353
 5.5879707 5.5822964 5.5724635 5.561963  5.5600786 5.5580115 5.5491767
 5.544372  5.540541  5.5363874 5.5295143 5.5251703 5.5161023 5.507288
 5.505702  5.4969296 5.492094  5.482799  5.473388  5.462752  5.4577575
 5.4482374 5.447221  5.439867  5.4302845 5.428428  5.424364  5.4184723
 5.4058204 5.3987846 5.3952355 5.392465  5.391061  5.3682666 5.3679776
 5.3640637 5.356593  5.3505974 5.347227  5.343149  5.3354697 5.330913
 5.3195086 5.3165264 5.3095474 5.305333  5.2964926 5.293871  5.2864842
 5.282092  5.2757254 5.2642293 5.261127  5.251527  5.246533  5.240548
 5.2344546 5.2294164 5.220045  5.21375   5.2046366 5.190252  5.186458
 5.1811194 5.168085  5.160172  5.1570206 5.1504564 5.1454763 5.139134
 5.1332374 5.1287556 5.125469  5.1150565 5.1033897 5.101441  5.0930977
 5.0822167 5.0787964 5.072485  5.0542617 5.0536294 5.045121  5.0404983
 5.03801   5.022713  5.0187025 5.002042  5.0004916 4.9929967 4.9876766
 4.982237  4.9750834 4.966724  4.9614716 4.952207  4.93655   4.9277015
 4.9239955 4.920399  4.9059114 4.8968577 4.8924885 4.8831396 4.880675
 4.864016  4.8563313 4.848382  4.8415575 4.8293595 4.807405  4.803485
 4.7994666 4.7800183 4.7716303 4.7706714 4.7576785 4.746419  4.7352977
 4.712971  4.689109  4.6812797 4.6528015]",2,False
bart_fc1_encoder,2,"[9.5917635 8.744683  8.434265  8.185291  7.748205  7.538097  7.0489683
 6.768109  6.7523255 6.5357375 6.3299704 6.2596188 5.900476  5.8886256
 5.848222  5.8391433 5.8125844 5.8039794 5.7844367 5.78069   5.7706985
 5.760243  5.748551  5.7362704 5.7325387 5.714158  5.7075143 5.699448
 5.6895175 5.6788154 5.6680636 5.653538  5.6441836 5.636408  5.6295824
 5.6120076 5.599777  5.5938463 5.586822  5.5786595 5.575013  5.5682573
 5.5616994 5.547704  5.5399637 5.525037  5.5209346 5.516691  5.510288
 5.5017757 5.492679  5.4884744 5.478752  5.474339  5.461689  5.4582148
 5.451923  5.4417434 5.4376545 5.432545  5.422272  5.4107738 5.405454
 5.4033513 5.395424  5.3890104 5.382135  5.373923  5.3677583 5.3614182
 5.3518353 5.340565  5.3336463 5.3285456 5.326082  5.3214874 5.3127403
 5.3102446 5.3052187 5.30071   5.2963696 5.2887063 5.2869477 5.2750607
 5.2678723 5.2658844 5.257145  5.2525935 5.240671  5.2320743 5.227709
 5.2202606 5.213387  5.206707  5.202537  5.1995983 5.1969786 5.188413
 5.1864247 5.180203  5.1716533 5.1645913 5.158961  5.156128  5.15479
 5.1474156 5.1395392 5.1386123 5.1312137 5.1255064 5.1121845 5.108497
 5.1000953 5.0974326 5.094984  5.082164  5.078899  5.0706215 5.0698113
 5.0598755 5.0534954 5.0468216 5.043037  5.0418077 5.038431  5.030624
 5.0250006 5.0185595 5.0163803 5.0010695 4.9971485 4.992469  4.9897723
 4.987262  4.977126  4.9729886 4.9695897 4.962087  4.9567657 4.948186
 4.941353  4.938188  4.935114  4.932599  4.932008  4.9234986 4.9158125
 4.911762  4.906556  4.9021583 4.892796  4.8908906 4.8842397 4.8749275
 4.869373  4.8672357 4.864028  4.8576856 4.854573  4.8511987 4.8485
 4.8420644 4.8335605 4.8295255 4.8249187 4.817811  4.814334  4.80366
 4.8011093 4.800242  4.7915087 4.779479  4.7739005 4.772171  4.7679415
 4.7661595 4.762586  4.751484  4.744924  4.743374  4.7318516 4.7243176
 4.721261  4.716995  4.7088394 4.7057204 4.69695   4.6953506 4.69273
 4.687416  4.6801085 4.677079  4.671213  4.665981  4.660337  4.6594024
 4.6500573 4.6477823 4.6421375 4.6379714 4.632128  4.6269736 4.6234207
 4.6212764 4.6140184 4.605449  4.59914   4.597784  4.593321  4.589286
 4.583452  4.581658  4.5741477 4.565534  4.5637097 4.560732  4.5575185
 4.5517893 4.5508456 4.5334997 4.5281067 4.523301  4.518188  4.5153103
 4.511661  4.509079  4.501539  4.4987636 4.4897017 4.483863  4.482362
 4.4799557 4.475142  4.466332  4.461112  4.4536963 4.4524755 4.447103
 4.4388556 4.434974  4.4249167 4.423121  4.417514  4.4117594 4.4099097
 4.4028482 4.3984046 4.39093   4.3856997 4.3810177 4.3730683 4.3697376
 4.3645673 4.3548255 4.3504305 4.3495784 4.3394814 4.338484  4.3297133
 4.3293805 4.3244905 4.3198457 4.3083625 4.306516  4.303622  4.296507
 4.291743  4.2885504 4.2877088 4.275457  4.2692676 4.267621  4.2593503
 4.2529135 4.2491183 4.2435355 4.2390256 4.230595  4.228361  4.224877
 4.2229514 4.217562  4.205499  4.2005205 4.1956086 4.1903205 4.183176
 4.1768336 4.175829  4.167782  4.1617446 4.1597333 4.1503367 4.145454
 4.139453  4.12943   4.1277843 4.12267   4.114504  4.107819  4.1018834
 4.0978703 4.0916915 4.087285  4.081513  4.0797086 4.0779824 4.0698657
 4.0662923 4.056791  4.0556703 4.0494375 4.044687  4.040429  4.0314317
 4.0266814 4.020581  4.0179696 4.013115  4.004855  4.001543  3.9945776
 3.989019  3.9781172 3.975291  3.9686525 3.9623408 3.9573998 3.9506586
 3.9414878 3.9381223 3.9359179 3.9254344 3.9204454 3.9149215 3.9012902
 3.898958  3.8935144 3.886834  3.8814986 3.877746  3.8754995 3.8671217
 3.8629186 3.8583949 3.852267  3.8455904 3.8313143 3.8305175 3.8201373
 3.8140955 3.813669  3.8073614 3.8036792 3.7937455 3.7827065 3.780405
 3.769667  3.7619722 3.7529876 3.7505643 3.742759  3.7361484 3.7295263
 3.7255433 3.712304  3.69942   3.692708  3.6857996 3.6774325 3.666265
 3.6636672 3.6419685 3.6396034 3.6283877 3.622907  3.6112225 3.6082447
 3.5893805 3.570359  3.566616  3.5331962 3.5212336 3.4969933]",0,True
bart_fc1_encoder,2,[9.145748   7.7805305  7.148874   ... 0.97957957 0.96668506 0.93212837],1,True
bart_fc1_encoder,2,"[10.168517   9.04401    8.868353   8.357134   8.109528   8.034195
  7.6753983  7.509778   7.364981   7.2693624  7.145507   7.0744834
  6.984918   6.803295   6.7992945  6.7648077  6.7341495  6.7189765
  6.6971183  6.668062   6.6569595  6.638304   6.6290765  6.613464
  6.607289   6.5819635  6.5708804  6.5555463  6.5472527  6.5337257
  6.5193744  6.513028   6.499906   6.4861426  6.4808674  6.4703684
  6.4538074  6.4454937  6.4346576  6.42691    6.4247837  6.4097595
  6.401877   6.3910027  6.3737974  6.367332   6.3611135  6.357636
  6.3563957  6.340222   6.332106   6.321123   6.3143835  6.3028255
  6.2947345  6.281336   6.2743845  6.267049   6.2596164  6.25324
  6.247188   6.239378   6.229088   6.226093   6.216591   6.2144604
  6.203717   6.194723   6.1866884  6.1856337  6.1745086  6.1645017
  6.157437   6.1538925  6.139278   6.1280174  6.1239724  6.117318
  6.109297   6.1059513  6.102196   6.093912   6.0809526  6.070771
  6.059112   6.051632   6.0490103  6.0444107  6.0366654  6.0305634
  6.02017    6.0124583  6.003473   5.9936795  5.989492   5.9807544
  5.9734883  5.9711585  5.9674435  5.955639   5.952029   5.942645
  5.9376006  5.9312787  5.9207664  5.914905   5.909279   5.896517
  5.8911395  5.8826375  5.877979   5.8692727  5.8643374  5.860483
  5.8566175  5.8489795  5.842198   5.8397703  5.8242927  5.821361
  5.8111253  5.8095155  5.804502   5.793617   5.7845073  5.7796574
  5.772146   5.7693334  5.7620177  5.757651   5.7538514  5.740042
  5.736134   5.73234    5.7237306  5.7169213  5.7088585  5.706572
  5.7021875  5.687494   5.683585   5.6776195  5.67407    5.665599
  5.6528735  5.6485105  5.6454005  5.6403975  5.630784   5.626688
  5.6223145  5.6187625  5.6090655  5.600067   5.596545   5.59282
  5.580212   5.5731816  5.5682507  5.563686   5.556824   5.553232
  5.540812   5.5330386  5.527574   5.5161076  5.513483   5.5091558
  5.4985776  5.496795   5.4903536  5.4829173  5.4791713  5.467912
  5.461833   5.456541   5.45277    5.437884   5.434027   5.4295425
  5.4237056  5.420448   5.4165606  5.410114   5.402244   5.396694
  5.3862824  5.380634   5.369454   5.3612094  5.353886   5.3445387
  5.3403106  5.337036   5.325224   5.320341   5.3166084  5.3061895
  5.301925   5.2954836  5.290773   5.281678   5.2771444  5.2726383
  5.2687435  5.2561035  5.25279    5.2418256  5.2332892  5.2287955
  5.2232356  5.212736   5.2087975  5.2014923  5.196048   5.179919
  5.174047   5.157968   5.152693   5.145738   5.133925   5.1277204
  5.120297   5.1155925  5.112078   5.097416   5.086781   5.067252
  5.0615277  5.05442    5.049372   5.0439386  5.030782   5.023604
  5.018784   5.010886   5.0051     4.9924054  4.98291    4.9642544
  4.9624634  4.9587235  4.9536743  4.9379725  4.925587   4.9162755
  4.907858   4.88889    4.8782816  4.8499694  4.846733   4.8177137
  4.808698   4.778665   4.7526717  4.7426996]",2,True
bart_fc1_encoder,3,"[8.24054   8.187433  7.65796   7.2749104 7.139142  6.85809   6.446878
 6.3941727 6.1532683 5.881241  5.823922  5.7181826 5.6087294 5.5925403
 5.569386  5.5417223 5.5365467 5.512878  5.510939  5.5075555 5.500446
 5.4698405 5.4634056 5.4529133 5.443584  5.427955  5.4255657 5.4195514
 5.405299  5.3981423 5.396646  5.3794637 5.3716893 5.3639455 5.3525276
 5.3484826 5.334778  5.3286657 5.320366  5.307867  5.295461  5.283995
 5.279541  5.2717805 5.2617345 5.2597094 5.2568817 5.247498  5.235709
 5.230873  5.2288733 5.22045   5.2149534 5.2088137 5.1938343 5.187634
 5.1849723 5.1824203 5.177836  5.1681976 5.1636786 5.144923  5.142907
 5.138744  5.134387  5.127487  5.116441  5.1101284 5.1062193 5.1040597
 5.0999317 5.0990644 5.0819116 5.0785007 5.069972  5.064165  5.061621
 5.047371  5.045428  5.0351787 5.031489  5.0297246 5.019632  5.0160775
 5.005852  5.0033402 4.9976363 4.9930906 4.9903293 4.9777327 4.9740458
 4.971085  4.9696264 4.962656  4.953935  4.9467754 4.9397264 4.9365263
 4.9271736 4.920368  4.9164166 4.9120483 4.908239  4.9002314 4.8943143
 4.8902583 4.8838987 4.8766656 4.8692565 4.8645096 4.860774  4.8541193
 4.8523974 4.8426027 4.83751   4.8370156 4.829362  4.8254004 4.8163667
 4.8091593 4.8067646 4.805204  4.7996464 4.78438   4.7828393 4.778976
 4.775746  4.7698507 4.764225  4.763046  4.758883  4.7503653 4.747973
 4.7363005 4.732138  4.7265553 4.723634  4.7180047 4.71035   4.7065806
 4.7054753 4.7021494 4.6955867 4.6845794 4.682219  4.671629  4.6692257
 4.6647964 4.6576695 4.6554136 4.6512384 4.6483006 4.6412735 4.6380897
 4.6350613 4.626195  4.6250615 4.613543  4.6130624 4.600397  4.596524
 4.5927587 4.589678  4.5859265 4.5748715 4.574095  4.567797  4.565671
 4.563003  4.5546045 4.5519986 4.5495634 4.541774  4.534653  4.5334816
 4.5249777 4.5222464 4.5196023 4.5168104 4.5100703 4.5038414 4.499691
 4.490633  4.485126  4.4833207 4.4781876 4.473869  4.466061  4.463216
 4.460323  4.457544  4.4514704 4.44286   4.4387875 4.43663   4.429879
 4.4277744 4.4238825 4.420228  4.414693  4.409884  4.4031725 4.3969407
 4.396131  4.3889475 4.383161  4.3805666 4.3733897 4.368984  4.364412
 4.3573236 4.354178  4.3519053 4.346531  4.341087  4.335673  4.328074
 4.3207636 4.312963  4.31112   4.309138  4.3064275 4.2972636 4.2971244
 4.2898135 4.2865915 4.282651  4.278638  4.27296   4.267392  4.262673
 4.257889  4.251123  4.2435627 4.2412777 4.2356296 4.22909   4.225958
 4.2202206 4.2158155 4.2123322 4.2087135 4.2017813 4.1995583 4.198433
 4.1880054 4.186344  4.181281  4.1767774 4.171691  4.169093  4.161911
 4.157279  4.15348   4.1507225 4.144555  4.1395993 4.135389  4.128227
 4.1255255 4.122319  4.1135683 4.10478   4.0998397 4.098813  4.0945125
 4.0900044 4.0855083 4.0777597 4.072157  4.071233  4.060911  4.0566053
 4.0520754 4.0451922 4.041146  4.036124  4.028672  4.024657  4.0189815
 4.015888  4.009374  4.008439  4.0057096 3.9946325 3.987557  3.9842086
 3.9826915 3.9789445 3.974949  3.9727285 3.966109  3.9600823 3.9566035
 3.945027  3.9425616 3.9386942 3.9315078 3.9247127 3.9195762 3.9154003
 3.9083416 3.9046032 3.9005067 3.8968463 3.891244  3.8842118 3.8817737
 3.8778472 3.8734236 3.8631918 3.8562677 3.85408   3.8491673 3.8469348
 3.8424566 3.8324056 3.8285277 3.8276398 3.8137548 3.8122838 3.8086517
 3.80281   3.7956603 3.7915576 3.784705  3.7800467 3.7778316 3.7716172
 3.7632477 3.7569294 3.7523227 3.7481868 3.7386005 3.7358942 3.7346737
 3.7238958 3.7174096 3.7116919 3.7083342 3.7001274 3.69256   3.691947
 3.687713  3.6795144 3.6741683 3.6652932 3.6586535 3.6546733 3.6445353
 3.6397169 3.6316943 3.62582   3.6207232 3.6182423 3.6077428 3.602073
 3.5955324 3.587773  3.5837107 3.579598  3.5787191 3.5666704 3.5585413
 3.5516608 3.5421386 3.5381408 3.5265071 3.5251122 3.5154958 3.510538
 3.4992259 3.4907231 3.4897583 3.4807541 3.4767141 3.4563825 3.4391599
 3.4235008 3.4211187 3.4049983 3.380459  3.3779042 3.3577702]",0,False
