model_and_part,layer_idx,s_values,unfolding_mode,keep
bert_output,0,"[3.6837513 3.6171682 3.564931  3.5627096 3.5450153 3.5202389 3.5130262
 3.4965155 3.4835927 3.4781392 3.4697194 3.466762  3.4443932 3.4422598
 3.4370496 3.4300754 3.420848  3.4126499 3.40334   3.3980563 3.3832533
 3.3797874 3.3775733 3.3688467 3.3614676 3.3583937 3.3568556 3.3528447
 3.34575   3.3389256 3.334737  3.3294654 3.327058  3.3169596 3.312968
 3.3067684 3.3054245 3.3037717 3.300255  3.294174  3.2926862 3.286617
 3.2827713 3.2749643 3.2693543 3.2689395 3.2608654 3.2561412 3.2552216
 3.250628  3.241538  3.2381163 3.2342901 3.2331002 3.2262425 3.220609
 3.2153878 3.213213  3.2065039 3.2036357 3.1986327 3.1974392 3.1931639
 3.1892986 3.1859064 3.1807275 3.176276  3.1741712 3.1684794 3.1660926
 3.1626446 3.1566658 3.1542385 3.1508577 3.143247  3.1419785 3.136087
 3.1351035 3.127049  3.1251805 3.1225405 3.1194956 3.1148593 3.1123888
 3.1105165 3.1063826 3.1042926 3.1010008 3.0982008 3.0945072 3.0901792
 3.0874853 3.0805845 3.0797653 3.076752  3.0733614 3.0685134 3.0671325
 3.0630977 3.0597436 3.0582871 3.052289  3.050428  3.0475948 3.04602
 3.0422146 3.037894  3.0341349 3.031606  3.0276642 3.0270784 3.0219107
 3.018266  3.0145295 3.0138278 3.0086298 3.0046394 2.9997888 2.9966662
 2.995214  2.9890592 2.9878998 2.9841962 2.9813855 2.9768877 2.9756227
 2.9734826 2.9700801 2.9633434 2.960364  2.958509  2.9566402 2.9539053
 2.952397  2.948789  2.943281  2.9421272 2.9398465 2.9352434 2.933611
 2.9318578 2.9280827 2.9262006 2.9241188 2.920126  2.9173825 2.912111
 2.9098063 2.9017813 2.899375  2.8973076 2.8966398 2.895604  2.8885243
 2.887937  2.8827317 2.8809624 2.8802423 2.8742857 2.8699543 2.8693848
 2.8651443 2.8615043 2.8592088 2.8565962 2.8523102 2.8510268 2.849614
 2.8462873 2.8430297 2.8365595 2.8350532 2.8312535 2.8281243 2.8262384
 2.8192813 2.8179457 2.8171887 2.8126988 2.8098629 2.8060956 2.8020353
 2.8011026 2.7975135 2.7954788 2.7920456 2.788281  2.7869806 2.7834733
 2.779746  2.7769785 2.7754312 2.7734072 2.766898  2.762959  2.7603004
 2.7587996 2.7581518 2.7542653 2.7521734 2.74806   2.746953  2.7429187
 2.7413194 2.7402148 2.73659   2.7319121 2.7283106 2.7252357 2.7243385
 2.7203195 2.7178106 2.713053  2.7075286 2.7058597 2.701822  2.699179
 2.6976624 2.6963003 2.6916747 2.6889648 2.685143  2.6819272 2.6794488
 2.6760848 2.671797  2.6697814 2.666569  2.6655376 2.6609278 2.6595304
 2.6566231 2.6547368 2.651555  2.6493917 2.647561  2.6409082 2.6398103
 2.637883  2.6337423 2.6297672 2.6258304 2.6249855 2.6190436 2.6176648
 2.6155148 2.6132233 2.6122918 2.6065843 2.6039433 2.6002953 2.5975347
 2.5946286 2.592889  2.5904722 2.5869243 2.5829709 2.5762777 2.5739307
 2.5704675 2.5702755 2.568346  2.5654154 2.5622394 2.559788  2.55539
 2.5531921 2.5506804 2.5464709 2.5449476 2.538423  2.5356371 2.5322425
 2.5297468 2.5272322 2.522642  2.5204113 2.515994  2.5138025 2.510321
 2.5076735 2.505461  2.5022464 2.4969387 2.494958  2.4916553 2.4888053
 2.48659   2.481713  2.4790976 2.476477  2.474601  2.4719374 2.4671175
 2.4656527 2.4627366 2.457871  2.4539604 2.4489896 2.4469507 2.4435718
 2.4416752 2.4396014 2.435745  2.4322476 2.427889  2.4257438 2.4222937
 2.4190176 2.4161928 2.4108336 2.407797  2.404732  2.4018369 2.400597
 2.395224  2.392435  2.3905046 2.3831506 2.3816698 2.3806026 2.3790474
 2.3738914 2.368914  2.3671227 2.3636155 2.358681  2.3562157 2.3502865
 2.3469791 2.3438451 2.3425946 2.3400033 2.3380096 2.3332705 2.3303325
 2.3262243 2.3236477 2.3186696 2.314487  2.309515  2.3036287 2.3025918
 2.2962875 2.2942708 2.290875  2.28646   2.2840106 2.2776995 2.276044
 2.2747843 2.2736197 2.2720299 2.2671463 2.2623963 2.2576585 2.2517319
 2.2455378 2.2414773 2.236781  2.2325013 2.2308912 2.220532  2.2149057
 2.2125566 2.2062151 2.205218  2.202706  2.194601  2.1894727 2.1879046
 2.1764867 2.1705282 2.163794  2.162158  2.154193  2.1533456 2.1465967
 2.1356823 2.129453  2.124783  2.121629  2.100899  2.0879834]",0,False
bert_output,0,[2.9799008  2.9041011  2.888495   ... 0.5933987  0.58574224 0.5652157 ],1,False
bert_output,0,"[4.159025  4.078451  4.067758  4.0535326 4.0369587 4.0266066 4.0145082
 3.986599  3.9816856 3.9729667 3.9564352 3.9482033 3.9420397 3.9334328
 3.9293845 3.9286747 3.9115405 3.9072707 3.8982282 3.8935106 3.8877704
 3.8804247 3.8716388 3.8632572 3.8609228 3.8583968 3.846444  3.8421438
 3.8320453 3.8243964 3.821914  3.8197095 3.8141215 3.8134263 3.798669
 3.793362  3.7887456 3.7818563 3.7784266 3.77456   3.7708104 3.7694836
 3.7573879 3.7552834 3.7498958 3.7483113 3.7433295 3.7350116 3.7324438
 3.7262094 3.7219522 3.7191548 3.712079  3.7087903 3.7050323 3.6988852
 3.6930285 3.6915073 3.6869576 3.6807218 3.6791778 3.6780753 3.6727705
 3.6665547 3.661859  3.658255  3.6518846 3.647532  3.6448522 3.640546
 3.6345441 3.631982  3.6309347 3.6264846 3.6222157 3.620718  3.6127357
 3.6082993 3.604234  3.596371  3.594211  3.5931938 3.5888577 3.585751
 3.5823078 3.5737576 3.568153  3.5661263 3.5615416 3.5569115 3.5565238
 3.5499506 3.5460289 3.5447116 3.537312  3.535011  3.5327177 3.5316846
 3.5243993 3.5227585 3.5187616 3.5165854 3.5117602 3.5082958 3.4994147
 3.498567  3.4941769 3.490526  3.485181  3.4837942 3.4803631 3.4760914
 3.4723115 3.4668865 3.464403  3.4591365 3.457324  3.4523983 3.448895
 3.4457085 3.4428363 3.440081  3.4364855 3.4333415 3.4322062 3.4258885
 3.4207237 3.4189174 3.4182985 3.4134517 3.4081044 3.4065373 3.4044414
 3.400986  3.393372  3.389756  3.3870504 3.3851292 3.3807554 3.3778257
 3.3730752 3.3687744 3.3648562 3.35957   3.3583875 3.3537369 3.3498304
 3.3442466 3.3431065 3.3395689 3.3355799 3.3327045 3.3314514 3.3281949
 3.322975  3.3207746 3.317247  3.313108  3.311893  3.3060403 3.3043783
 3.299668  3.289966  3.2848508 3.2783773 3.2772343 3.2768512 3.271205
 3.2648058 3.2617538 3.260322  3.2556083 3.253698  3.2514546 3.244617
 3.2426317 3.235892  3.2329473 3.2291923 3.2280512 3.2262297 3.2189727
 3.2174609 3.2161107 3.2099798 3.2073658 3.2029674 3.1954458 3.193267
 3.1918037 3.1877182 3.182436  3.1803458 3.1749861 3.1690507 3.1677473
 3.1605752 3.1572318 3.1549404 3.149326  3.1479945 3.1450062 3.1394687
 3.1352017 3.133494  3.1280441 3.1245894 3.1210618 3.1189144 3.1137214
 3.1090002 3.1070309 3.0990877 3.0983255 3.0901747 3.0877852 3.081059
 3.078885  3.0750513 3.069697  3.0666704 3.0624065 3.0532818 3.0513895
 3.0463188 3.0422397 3.040398  3.0312798 3.0306401 3.0255544 3.014375
 3.010653  3.007205  3.0019343 3.0009496 2.9959068 2.992769  2.987608
 2.9796736 2.9713566 2.966223  2.953493  2.9507792 2.9485483 2.939383
 2.9342616 2.9299204 2.9182594 2.9121866 2.909554  2.8995817 2.8909678
 2.882557  2.8770235 2.8521116 2.8460684]",2,False
bert_output,1,"[4.196082  4.0204234 3.995962  3.9436004 3.8948002 3.8626778 3.8418834
 3.7964041 3.74506   3.728035  3.7051382 3.6847987 3.6700149 3.6652484
 3.6595328 3.6451495 3.6364968 3.6280751 3.626968  3.6096668 3.6018689
 3.5910916 3.5877328 3.5850048 3.5756776 3.5710702 3.5651395 3.5602012
 3.5565705 3.5513873 3.5421734 3.5330257 3.5290918 3.5219846 3.5172918
 3.5115275 3.5056407 3.499735  3.4922638 3.4883478 3.4809148 3.4756632
 3.4697428 3.4677536 3.460705  3.4572875 3.4522057 3.4484303 3.4439757
 3.4389396 3.4345205 3.4311514 3.4248927 3.419169  3.414006  3.4116607
 3.4080305 3.4012096 3.398814  3.3914363 3.3863628 3.384236  3.3830428
 3.3798053 3.369511  3.3668287 3.3627589 3.3622184 3.3529208 3.3516734
 3.3403256 3.339206  3.334822  3.3316686 3.329256  3.324462  3.3212972
 3.3135753 3.31177   3.309327  3.302748  3.2986937 3.2912726 3.2898293
 3.2852635 3.2789695 3.2744508 3.2696729 3.2690141 3.2624664 3.259815
 3.2572615 3.2530367 3.2489095 3.2443557 3.2395108 3.2375157 3.2357101
 3.2287538 3.2260616 3.223322  3.221245  3.21888   3.2137053 3.2071705
 3.2069755 3.2030456 3.1977844 3.1960192 3.18958   3.1869478 3.182263
 3.1782713 3.176737  3.174036  3.1713479 3.1704133 3.165249  3.159222
 3.1580374 3.1533518 3.151773  3.1494296 3.1459079 3.1381316 3.1353333
 3.128361  3.1245458 3.1199417 3.119656  3.1161544 3.1139758 3.1082804
 3.106662  3.1034503 3.100668  3.0988493 3.0968666 3.09183   3.0851276
 3.082881  3.0809748 3.0768547 3.0750182 3.0715556 3.069452  3.065834
 3.0600336 3.0570216 3.0528553 3.051862  3.0437994 3.043097  3.0400796
 3.0365899 3.0329795 3.0308359 3.026096  3.0244062 3.0193732 3.0153027
 3.013625  3.0111554 3.0058696 3.0033967 2.9977903 2.9965363 2.9930859
 2.988347  2.9868927 2.985051  2.9827209 2.9773607 2.973343  2.9728377
 2.9673343 2.9638867 2.9599621 2.9577847 2.95526   2.9533865 2.9503016
 2.948948  2.9444945 2.941052  2.9366474 2.932989  2.9296424 2.9266324
 2.9222362 2.920805  2.9188647 2.9162114 2.9127412 2.9055927 2.903813
 2.902721  2.8980892 2.8927922 2.8893952 2.8885853 2.8842528 2.882795
 2.877199  2.874522  2.8716621 2.8677197 2.8673334 2.8629668 2.857151
 2.8543262 2.8535616 2.8503942 2.8474863 2.844758  2.8429542 2.841549
 2.837304  2.8347082 2.8314626 2.8279383 2.8274922 2.820366  2.814916
 2.81111   2.8097982 2.807606  2.807256  2.7995644 2.7961798 2.794273
 2.7918146 2.7903838 2.7854507 2.781374  2.7795262 2.7753122 2.7724993
 2.7711246 2.7685022 2.7623103 2.7604182 2.758311  2.754922  2.7483332
 2.7462022 2.7431514 2.7409635 2.7374666 2.7350984 2.7315204 2.7304227
 2.7289016 2.7268178 2.7167785 2.7157645 2.7131207 2.7084165 2.7071738
 2.7042854 2.700198  2.697258  2.6939518 2.6925075 2.688331  2.6872835
 2.6857164 2.6806672 2.6783385 2.6757374 2.6718576 2.6676328 2.6673975
 2.662473  2.661036  2.656446  2.6538243 2.647689  2.6451275 2.6448085
 2.6407146 2.6374385 2.6351812 2.6290197 2.6286106 2.6239262 2.6154268
 2.6144624 2.6121497 2.6098702 2.6056776 2.6043653 2.6006956 2.5954523
 2.5914273 2.588511  2.5868366 2.5790484 2.5782962 2.5741677 2.5702944
 2.5683467 2.5659463 2.5634894 2.5582805 2.554746  2.550605  2.5483787
 2.5465739 2.5429504 2.5376613 2.5362334 2.5322168 2.5276766 2.524751
 2.5223563 2.521397  2.515802  2.5131345 2.5065236 2.502284  2.5001998
 2.49416   2.4901161 2.4894433 2.4860046 2.4788501 2.4761803 2.4707448
 2.4683514 2.4657168 2.461505  2.4558594 2.453754  2.4513159 2.4495347
 2.445276  2.440118  2.4358566 2.4318485 2.4286003 2.4248073 2.423249
 2.4161177 2.4115622 2.407707  2.4020944 2.4000256 2.397488  2.3943272
 2.3888953 2.3825953 2.377719  2.372025  2.369279  2.3662293 2.3584664
 2.3554952 2.3540208 2.3473158 2.341053  2.3349369 2.3317082 2.3287296
 2.3237998 2.319832  2.314133  2.3101842 2.3058565 2.3023207 2.2994275
 2.288106  2.286569  2.277831  2.2741985 2.2676048 2.2653043 2.2507076
 2.249367  2.2431562 2.2339706 2.224575  2.2195175 2.217526 ]",0,False
bert_output,1,[3.7085764 3.5267942 3.3152788 ... 0.6184407 0.6098734 0.6017707],1,False
bert_output,1,"[4.726943  4.6248026 4.544478  4.493917  4.438819  4.4151893 4.384654
 4.3592277 4.338568  4.2958508 4.260082  4.2463813 4.229937  4.2252536
 4.2009697 4.1967063 4.1735325 4.157635  4.138703  4.1303854 4.1268125
 4.113602  4.103705  4.0976834 4.0790067 4.077693  4.068937  4.0634627
 4.058265  4.049533  4.0429955 4.036343  4.024538  4.0136857 4.0116286
 4.008099  4.002571  3.9987345 3.9959047 3.9917095 3.982102  3.9739473
 3.9687986 3.9625707 3.956917  3.9535158 3.9466543 3.945402  3.9348607
 3.9284208 3.9250264 3.9200175 3.916919  3.9136913 3.9115715 3.9069684
 3.902298  3.8924685 3.8906488 3.8885741 3.8818448 3.8766928 3.8704398
 3.8627357 3.860651  3.8543231 3.8525426 3.8501253 3.8457212 3.8380272
 3.835166  3.828746  3.824471  3.819463  3.8147168 3.8122914 3.8041673
 3.8009675 3.7987802 3.7968066 3.7880993 3.7840924 3.781118  3.7770865
 3.7747602 3.7719898 3.7663326 3.7646565 3.7578251 3.755406  3.7516227
 3.7491946 3.74403   3.7390683 3.732887  3.7264342 3.7232912 3.7195952
 3.7138796 3.7107668 3.7062392 3.7022693 3.69491   3.6873417 3.685382
 3.680493  3.677845  3.6740425 3.6682398 3.6648448 3.6620872 3.6587503
 3.6552732 3.6482568 3.6465282 3.642674  3.6408222 3.6324384 3.6320894
 3.6277175 3.6270244 3.622985  3.6212392 3.6137528 3.6083906 3.6024241
 3.5968525 3.5928369 3.5904279 3.5892036 3.586651  3.5829492 3.5783207
 3.5772126 3.5702055 3.5669672 3.5659213 3.562066  3.5595    3.5498943
 3.5488312 3.545208  3.534639  3.533004  3.5271704 3.5249016 3.5214684
 3.5171893 3.5114946 3.5082855 3.5018165 3.4990096 3.4973738 3.4938085
 3.4921398 3.4882915 3.478636  3.4754863 3.474611  3.4702117 3.4644878
 3.4633791 3.4606423 3.457978  3.4562695 3.451648  3.4481287 3.4437058
 3.434607  3.4319255 3.4267156 3.4258158 3.4202094 3.4180384 3.4140465
 3.4071033 3.4044824 3.4028602 3.3964744 3.3922687 3.3906436 3.382881
 3.372703  3.371043  3.367077  3.3632953 3.3582304 3.354257  3.3525255
 3.3452995 3.343636  3.3398082 3.3358529 3.3335567 3.328635  3.3275304
 3.321477  3.3151157 3.3101761 3.309346  3.3071337 3.3001146 3.2973802
 3.294648  3.286607  3.2839239 3.2727985 3.2715154 3.2660975 3.2631438
 3.2627358 3.255014  3.2463741 3.2416682 3.2374408 3.2349658 3.2305686
 3.223267  3.219874  3.2185564 3.212983  3.2083101 3.1986294 3.1950593
 3.191763  3.1868005 3.1792142 3.1757503 3.1719463 3.1702216 3.1620326
 3.1578119 3.1551456 3.1458926 3.141615  3.1372874 3.1362755 3.129336
 3.1255243 3.1158724 3.1135366 3.1078796 3.1008031 3.0956793 3.0894904
 3.0855663 3.0726752 3.0663311 3.058914  3.0513108 3.0440176 3.0377507
 3.0323076 3.0100775 3.007163  2.9810188]",2,False
bert_output,2,"[4.6086483 4.3498783 3.8282895 3.7625773 3.7498846 3.7349265 3.724318
 3.7139096 3.6997817 3.69089   3.6858568 3.6828735 3.660473  3.6524854
 3.651517  3.64522   3.6417658 3.6381497 3.622506  3.614136  3.612752
 3.6095164 3.5952315 3.5922437 3.5906782 3.5840125 3.5799541 3.5719342
 3.5659044 3.5651286 3.5562267 3.5518773 3.5450516 3.5429697 3.5343163
 3.5324402 3.5272617 3.5242724 3.522251  3.5176673 3.512432  3.5077693
 3.502734  3.4900303 3.4877317 3.4854105 3.4784377 3.4754834 3.4674642
 3.4625456 3.4613929 3.4547863 3.4544957 3.4468362 3.4447615 3.438179
 3.4337378 3.428394  3.4235148 3.4180367 3.415242  3.41095   3.4065
 3.405621  3.4000092 3.3974903 3.3948493 3.3867188 3.3861196 3.3828433
 3.3818057 3.3716033 3.3697042 3.365954  3.3620741 3.353342  3.3509429
 3.347094  3.3424723 3.3392258 3.3360062 3.3350983 3.3279312 3.3268912
 3.3200104 3.3140788 3.312006  3.305146  3.3030503 3.299557  3.295545
 3.2927554 3.2889018 3.2831917 3.2801023 3.2776725 3.2765005 3.2723215
 3.2703855 3.2631266 3.259344  3.2580829 3.2522352 3.2484093 3.245604
 3.2428455 3.2394357 3.2357028 3.2328227 3.2245362 3.2229595 3.2201564
 3.218243  3.213328  3.2094083 3.2089117 3.2057393 3.2020106 3.1980252
 3.1932545 3.1887035 3.1864266 3.1821578 3.181103  3.1771472 3.170958
 3.1693277 3.1648765 3.1637044 3.1600192 3.1542757 3.1522603 3.1484106
 3.1465414 3.1417444 3.1393917 3.1330805 3.131983  3.1276295 3.122587
 3.1209197 3.1204262 3.116996  3.1142676 3.1098034 3.1019857 3.1017818
 3.0994205 3.0972328 3.0953152 3.088399  3.0870476 3.0835419 3.0754414
 3.0729177 3.067682  3.0669947 3.0643508 3.06298   3.0557723 3.0505798
 3.0465872 3.046192  3.043271  3.0395052 3.0373313 3.0326078 3.0308304
 3.0269675 3.024041  3.0217335 3.0195243 3.01389   3.013707  3.0092247
 3.0075998 3.0051472 3.0015068 2.999987  2.9952967 2.994278  2.9891336
 2.987144  2.9846406 2.9755845 2.9725316 2.966003  2.9627633 2.9597013
 2.959411  2.9572282 2.9529035 2.9502668 2.9475083 2.944437  2.9425166
 2.9378781 2.93487   2.9334276 2.9272342 2.923874  2.921672  2.9185777
 2.9168758 2.915095  2.9111176 2.9062605 2.9037004 2.9014285 2.8984227
 2.891749  2.889542  2.8857515 2.8816426 2.879497  2.8779848 2.8757718
 2.8746297 2.870528  2.8665862 2.8618183 2.857164  2.8544369 2.8533459
 2.850474  2.8486304 2.8417466 2.839149  2.8372462 2.8338473 2.8276784
 2.8267887 2.825073  2.8209019 2.819977  2.815042  2.8106127 2.8087192
 2.8052018 2.8033068 2.7986224 2.7950327 2.794714  2.7907183 2.7893395
 2.7866476 2.7832913 2.7810483 2.7771268 2.7729661 2.7685568 2.7663357
 2.763339  2.7612178 2.758149  2.7560735 2.7534003 2.7481434 2.7449598
 2.7410662 2.7376928 2.735944  2.732625  2.7302194 2.7264562 2.7228067
 2.7193422 2.7164786 2.7142758 2.7096415 2.7061708 2.701661  2.7013955
 2.6981015 2.6947424 2.6899986 2.6894252 2.6843827 2.6819491 2.6806698
 2.6780684 2.6748989 2.668145  2.6654541 2.663222  2.660012  2.657469
 2.651001  2.6484585 2.6460056 2.6419015 2.638086  2.6352448 2.632072
 2.6274674 2.6263773 2.6246634 2.619576  2.6157076 2.6146445 2.6080263
 2.6023238 2.601119  2.599709  2.5948772 2.5930955 2.5887346 2.5846946
 2.5795963 2.576635  2.5757797 2.5697505 2.564669  2.562145  2.5586154
 2.5505307 2.5478914 2.5447836 2.5390654 2.5371587 2.5348763 2.5284002
 2.5259688 2.522087  2.5191    2.5173368 2.514991  2.5095525 2.506484
 2.5044682 2.5000985 2.494595  2.4885478 2.4857244 2.4841046 2.4784324
 2.4773054 2.4719672 2.4715304 2.4694307 2.4659739 2.4620621 2.458999
 2.4541702 2.451594  2.4432876 2.441193  2.435797  2.4312017 2.4268532
 2.4219148 2.4214659 2.4188933 2.41358   2.4056866 2.4046972 2.3996701
 2.3960192 2.3917398 2.3875232 2.3821619 2.3775177 2.3709993 2.3688557
 2.36694   2.3567176 2.3508604 2.3438056 2.3394709 2.3351638 2.3324451
 2.321913  2.3178637 2.314156  2.3071902 2.3027608 2.293935  2.291546
 2.2861998 2.275985  2.2614496 2.2530885 2.2462506 2.2401178]",0,False
bert_output,2,[4.0291185  3.6406944  3.207917   ... 0.6291646  0.6252921  0.61886877],1,False
bert_output,2,"[5.1057034 4.6808968 4.3986535 4.378389  4.358376  4.2882957 4.283965
 4.277706  4.2513766 4.2372956 4.2313404 4.2242746 4.21123   4.196012
 4.185832  4.18277   4.1775527 4.1733336 4.161764  4.1571903 4.1454883
 4.136035  4.126419  4.1177983 4.114694  4.113652  4.105992  4.1000366
 4.0916038 4.082915  4.073473  4.0685368 4.0662217 4.06127   4.0571637
 4.0520673 4.0489845 4.042602  4.031014  4.0296364 4.020041  4.018298
 4.009983  4.0062275 4.001065  3.9919288 3.9867036 3.9843078 3.980686
 3.973614  3.971875  3.9676208 3.9601195 3.9544296 3.9493728 3.9448051
 3.939875  3.9373472 3.9293942 3.9255755 3.9207528 3.9200635 3.9128447
 3.9097168 3.9079607 3.9039516 3.898497  3.8936455 3.8878527 3.8852234
 3.8823652 3.878277  3.87555   3.8722892 3.8661141 3.8622847 3.858764
 3.8525605 3.845754  3.8384905 3.8328633 3.8293347 3.8276956 3.8235085
 3.819887  3.814432  3.8105624 3.8068054 3.7996361 3.794336  3.7911522
 3.7878804 3.7818313 3.781597  3.7755318 3.7728622 3.7676494 3.7628882
 3.7583618 3.7559733 3.7527833 3.7514415 3.7445066 3.7389803 3.7348444
 3.7327435 3.7298405 3.7261763 3.7134778 3.713013  3.709155  3.7060387
 3.6999133 3.6973782 3.6951456 3.6914067 3.6844876 3.6827407 3.6802552
 3.669345  3.667127  3.6634707 3.658362  3.6555004 3.651837  3.6498516
 3.649098  3.6455145 3.6436725 3.6367087 3.632003  3.6275358 3.6235929
 3.6206903 3.6168308 3.6119378 3.608239  3.6028147 3.6017413 3.5943134
 3.587618  3.5868282 3.5812697 3.5790858 3.5761235 3.5734    3.5656593
 3.561606  3.5599976 3.555817  3.552919  3.5487194 3.544594  3.5387821
 3.5367157 3.5352833 3.5289228 3.5266304 3.5197098 3.5173807 3.5100532
 3.508874  3.5047817 3.5026174 3.4966319 3.4949033 3.4927027 3.4856787
 3.4845016 3.478155  3.4738967 3.467184  3.4630704 3.4586072 3.4540145
 3.4504027 3.4483051 3.4456155 3.4428563 3.4408069 3.4334414 3.431496
 3.4280696 3.4227295 3.417349  3.410251  3.407374  3.4060345 3.4003167
 3.3979354 3.3926122 3.3829553 3.3823032 3.3802652 3.376753  3.3759801
 3.370664  3.3662703 3.3645275 3.361018  3.351444  3.3468838 3.3425393
 3.335056  3.3341103 3.3254776 3.3184993 3.3181806 3.3159802 3.3114967
 3.3049545 3.3032215 3.3006303 3.2968335 3.285554  3.284819  3.2800653
 3.2775104 3.2752316 3.2679348 3.2659261 3.2584555 3.2544084 3.24939
 3.242811  3.2405667 3.2311506 3.2218022 3.2212045 3.2185547 3.211541
 3.204542  3.2025597 3.1989858 3.1941276 3.1851757 3.177237  3.1687527
 3.1580899 3.151678  3.1467369 3.1445382 3.1377354 3.1325345 3.1248016
 3.1167269 3.1102908 3.1031446 3.090557  3.083626  3.0787606 3.0663745
 3.0578415 3.0412471 3.0350378 3.019848 ]",2,False
bert_output,3,"[7.2858996 7.004069  5.177542  4.5578375 3.8207352 3.7947657 3.789749
 3.7749574 3.77383   3.755799  3.744046  3.740834  3.7316668 3.7247105
 3.7119007 3.7070253 3.7059212 3.6939867 3.6900947 3.6812096 3.6768353
 3.6729844 3.665214  3.6593292 3.6537986 3.650796  3.6485667 3.6381025
 3.6284444 3.6250114 3.6206486 3.615568  3.610019  3.6030045 3.5959666
 3.5932045 3.588095  3.580061  3.572994  3.5684404 3.5632625 3.5613153
 3.5563104 3.5510278 3.5446439 3.5392585 3.5363972 3.5329766 3.5268564
 3.5251474 3.5184176 3.512591  3.5115676 3.5080414 3.49884   3.495271
 3.4850564 3.481451  3.47722   3.4719937 3.4662714 3.4602096 3.459352
 3.453695  3.4513438 3.4500072 3.4453256 3.4402568 3.4364853 3.4311352
 3.4298017 3.4285676 3.4214664 3.4183085 3.4145548 3.412296  3.4079099
 3.3982713 3.3979042 3.3965507 3.390797  3.3882272 3.3838336 3.3798053
 3.378496  3.3687139 3.3668032 3.3601952 3.3559494 3.3532608 3.347758
 3.344972  3.3399246 3.3364224 3.3338418 3.330355  3.3269217 3.3216438
 3.3203716 3.3142095 3.3120146 3.309226  3.3033924 3.3007128 3.296703
 3.2960496 3.293901  3.2904012 3.2830021 3.280625  3.276212  3.2738662
 3.27018   3.2627456 3.2607596 3.2598414 3.2582405 3.2483592 3.2460027
 3.2418554 3.2380235 3.2356582 3.2331269 3.2301214 3.2289045 3.2234757
 3.2201746 3.2161548 3.2133675 3.2111616 3.2063382 3.2044923 3.2018464
 3.1994848 3.1958048 3.1923132 3.1894097 3.18882   3.1818194 3.1750126
 3.1726854 3.165865  3.164822  3.163127  3.161938  3.1573286 3.153256
 3.150168  3.1469226 3.1424756 3.1401641 3.1370504 3.1299422 3.1272066
 3.1238077 3.1199193 3.1168587 3.1151452 3.109242  3.1065736 3.103941
 3.1031733 3.1005023 3.0960274 3.0911086 3.0867448 3.0858943 3.0828447
 3.076127  3.0723813 3.069347  3.0685341 3.0615513 3.0593734 3.056256
 3.0536292 3.052523  3.0486524 3.0425334 3.041158  3.0391219 3.0337515
 3.0320158 3.0286043 3.0250142 3.0218682 3.020579  3.01885   3.0135865
 3.0112903 3.0086608 3.00432   3.0002415 2.99564   2.9953952 2.9920444
 2.9881177 2.9862146 2.9799957 2.9764798 2.9738278 2.9726353 2.9684017
 2.9662457 2.9613822 2.9584854 2.954971  2.950622  2.9476037 2.944837
 2.9419944 2.935605  2.9316962 2.9305594 2.9254396 2.9229188 2.9208536
 2.916359  2.9132066 2.9101546 2.9039178 2.9020689 2.8996801 2.8958638
 2.8913314 2.8890655 2.8847265 2.8820512 2.8775518 2.8756452 2.8723915
 2.8710647 2.8682692 2.8642783 2.8640616 2.8588128 2.858377  2.8538964
 2.8500316 2.8492284 2.8466532 2.8441324 2.8403485 2.8376245 2.8341508
 2.8315985 2.8285174 2.8260527 2.821385  2.8190055 2.816978  2.8095536
 2.808218  2.8056812 2.801412  2.8000522 2.7976198 2.794357  2.7900443
 2.7867906 2.781823  2.7795494 2.774424  2.771344  2.7658956 2.7628975
 2.7621758 2.7595472 2.754752  2.7510862 2.746593  2.7453685 2.7430613
 2.7387178 2.7374272 2.730831  2.7242992 2.722723  2.71974   2.7100494
 2.7081816 2.7067175 2.704674  2.7020392 2.6997619 2.697735  2.6951709
 2.6922224 2.6852655 2.6812367 2.6789417 2.6743376 2.6716995 2.671055
 2.6691787 2.6599998 2.6587415 2.6549575 2.6529    2.6484365 2.6434598
 2.6392086 2.6367755 2.635192  2.6333892 2.6305077 2.6255474 2.6228046
 2.6209562 2.6153855 2.611857  2.6071415 2.6057746 2.6043386 2.6003885
 2.5950353 2.5941038 2.592743  2.5884392 2.5855758 2.5819273 2.579495
 2.5748131 2.5647984 2.5616353 2.5564609 2.5553088 2.5474494 2.5469177
 2.5418563 2.537467  2.5355923 2.5348628 2.5280979 2.524237  2.521174
 2.5210202 2.5158396 2.5143113 2.5063512 2.5019953 2.4992192 2.4953818
 2.491205  2.4874325 2.4842827 2.4745972 2.4728787 2.4707255 2.4653616
 2.4625392 2.4579694 2.4551055 2.4477532 2.4447634 2.4421816 2.4375985
 2.4335058 2.4288297 2.4221907 2.417632  2.4162626 2.40726   2.4027653
 2.3988848 2.394058  2.390518  2.3775246 2.3766959 2.3734865 2.3678627
 2.364029  2.35519   2.3505347 2.341182  2.337538  2.3349733 2.326014
 2.318049  2.3055954 2.3027356 2.292222  2.2893152 2.2830768]",0,True
