model_and_part,layer_idx,s_values,unfolding_mode,keep
colbert_intermediate,0,"[5.63137   5.401903  5.090413  4.91654   4.6921086 4.553933  4.4360657
 4.374544  4.2833405 3.961111  3.8948448 3.7157316 3.5519714 3.549784
 3.5434723 3.5345373 3.5269768 3.5151193 3.5072396 3.504653  3.4967828
 3.4907498 3.4702463 3.4691384 3.4613905 3.4593463 3.453957  3.4466515
 3.4454012 3.436313  3.427746  3.4232562 3.4121022 3.4094152 3.4026449
 3.3990796 3.3954182 3.3884234 3.3863585 3.3834386 3.3813214 3.3754315
 3.369339  3.3663785 3.3635457 3.3574882 3.349355  3.3472543 3.342917
 3.3356693 3.332048  3.330746  3.3277934 3.3227031 3.3187602 3.313839
 3.303334  3.3009605 3.2991602 3.292376  3.2910628 3.2894323 3.2855577
 3.2794666 3.2768264 3.2701185 3.267821  3.2583842 3.2555666 3.2514915
 3.2499678 3.2457209 3.2428062 3.239471  3.236685  3.2332215 3.2291598
 3.22018   3.219719  3.2169886 3.2079186 3.205534  3.203924  3.199378
 3.1966467 3.1921422 3.1882756 3.187124  3.1856525 3.1776125 3.1754215
 3.174969  3.1673687 3.1641028 3.1611695 3.160081  3.155673  3.1537805
 3.1496005 3.1460984 3.140959  3.1405385 3.138839  3.1341481 3.1315353
 3.1267242 3.1255126 3.1226287 3.1153584 3.1122043 3.1090813 3.1059306
 3.10118   3.0993643 3.096897  3.091707  3.0896559 3.082935  3.0805478
 3.0771055 3.0747802 3.0744646 3.0712254 3.0665076 3.0654662 3.059854
 3.0535777 3.052535  3.0480866 3.0441864 3.0408936 3.038934  3.0352774
 3.0342324 3.0316517 3.0256474 3.0224664 3.0207431 3.0171812 3.0134416
 3.009984  3.0099673 3.0077052 2.9998138 2.997747  2.9952943 2.9907343
 2.9882638 2.9852283 2.9839747 2.9817493 2.977954  2.9755757 2.971187
 2.967351  2.9607005 2.9578748 2.9556792 2.9486372 2.947501  2.9456444
 2.9428606 2.9401462 2.9346464 2.9340317 2.9293375 2.9262629 2.923547
 2.9228432 2.9194353 2.916541  2.914008  2.9120464 2.9086585 2.9034603
 2.9002662 2.898955  2.8967063 2.8944528 2.8934968 2.890757  2.885396
 2.882045  2.880692  2.8726816 2.8668098 2.865838  2.862191  2.8619227
 2.8586383 2.855397  2.8542151 2.8518298 2.8456488 2.8419976 2.8360326
 2.8354135 2.833439  2.830382  2.8276577 2.8271549 2.8261817 2.8194048
 2.8156056 2.8119354 2.806825  2.8059044 2.8033073 2.7994332 2.798123
 2.7950075 2.7919483 2.7902184 2.7847142 2.7835002 2.781066  2.7759454
 2.7707891 2.7692826 2.764339  2.7613175 2.756644  2.75602   2.75418
 2.7511961 2.7459865 2.7429898 2.7368248 2.7364936 2.7349818 2.7331562
 2.7322667 2.7304335 2.7253592 2.7226195 2.7170436 2.7140243 2.7074833
 2.7045918 2.7002532 2.6968756 2.6955297 2.693143  2.6922603 2.68905
 2.685268  2.6850584 2.6827238 2.6783159 2.6745086 2.6724925 2.671628
 2.6675093 2.6621003 2.6562757 2.6536684 2.6529326 2.6499102 2.6482193
 2.6440735 2.6419907 2.6369596 2.6339793 2.630481  2.6244698 2.6243997
 2.6223614 2.6201222 2.6182158 2.613774  2.612346  2.6102848 2.606653
 2.6061573 2.6036477 2.600176  2.5926461 2.5902278 2.5883825 2.5825171
 2.5791907 2.5755026 2.5736701 2.56999   2.567472  2.564576  2.562029
 2.5567775 2.5537148 2.5505393 2.549222  2.5437405 2.5397854 2.5395525
 2.5362606 2.5332727 2.5279727 2.5278351 2.5220103 2.5212092 2.5196507
 2.511293  2.5098562 2.5050712 2.5029147 2.5015748 2.4995842 2.4935167
 2.492614  2.4876168 2.485559  2.4837158 2.47852   2.4764132 2.4749627
 2.4712307 2.4700615 2.4647923 2.462663  2.4590745 2.4562895 2.451285
 2.448157  2.4463468 2.439962  2.432613  2.4304636 2.4259522 2.4251883
 2.415686  2.4141283 2.4134936 2.409903  2.4060497 2.4014037 2.3961608
 2.3942583 2.3897126 2.3891802 2.3866293 2.382731  2.37846   2.3778906
 2.3716183 2.3675675 2.3658144 2.3627548 2.3601153 2.3505719 2.346926
 2.34015   2.3387625 2.3339212 2.3318224 2.3276281 2.3248837 2.3175778
 2.312869  2.3066084 2.2993855 2.2968318 2.2928545 2.2891028 2.280774
 2.2786262 2.276956  2.2689939 2.2681143 2.2651215 2.259637  2.2558322
 2.2483578 2.2449634 2.2420423 2.2339408 2.2284815 2.2197573 2.2144394
 2.2073913 2.196572  2.1888185 2.1787715 2.1746118 2.162842 ]",0,False
colbert_intermediate,0,[4.674457   4.5393715  4.3443756  ... 0.6088385  0.60409737 0.58629775],1,False
colbert_intermediate,0,"[5.9570026 5.5305567 5.3260627 5.2992296 5.0374427 4.9883165 4.747422
 4.65493   4.4714537 4.4086647 4.298255  4.2532315 4.1673703 4.1331162
 4.090371  4.0730085 4.0640454 4.043185  4.040637  4.0255113 4.020895
 4.0117464 4.001368  3.9965138 3.9823866 3.9774432 3.9710162 3.965647
 3.9629855 3.9492295 3.9451036 3.9401307 3.9350548 3.9262066 3.9212034
 3.9158554 3.9058192 3.9038692 3.8979096 3.8952332 3.8934145 3.880532
 3.8743944 3.8735986 3.8657684 3.8590326 3.8554356 3.8532124 3.8426383
 3.8378398 3.8337889 3.8294277 3.826432  3.8186786 3.8178635 3.8155456
 3.805649  3.8022473 3.7957003 3.7922041 3.7818537 3.7796822 3.776043
 3.7729158 3.7697196 3.7682455 3.7547648 3.753108  3.7507682 3.7441506
 3.741259  3.737683  3.7328825 3.7315404 3.724019  3.7218866 3.7188373
 3.7125428 3.7100816 3.7062738 3.7005548 3.69614   3.6941721 3.6908064
 3.688704  3.6839838 3.6780486 3.6759698 3.6722784 3.6672015 3.6636674
 3.65983   3.6564987 3.6529539 3.6455746 3.6393397 3.6327775 3.631435
 3.6294436 3.6268165 3.6244473 3.6213157 3.616379  3.6107621 3.6084187
 3.6043143 3.603498  3.5966914 3.590373  3.5886412 3.5837145 3.580758
 3.5784914 3.5733936 3.5706613 3.567181  3.5636973 3.561416  3.5545459
 3.5527294 3.5505042 3.5466576 3.5413244 3.536604  3.5291524 3.528314
 3.5217514 3.5200796 3.517613  3.510342  3.5005295 3.4963772 3.4947662
 3.491066  3.485296  3.4828274 3.4813013 3.4760592 3.4743881 3.4710934
 3.4668455 3.4633217 3.4580681 3.4527445 3.4524746 3.4475763 3.4469633
 3.4436219 3.4376106 3.435353  3.431439  3.430033  3.4232478 3.4204078
 3.4156547 3.4122162 3.4075685 3.4048681 3.4006503 3.3984742 3.3932695
 3.385566  3.3839731 3.382049  3.3783314 3.3736036 3.3710234 3.3690538
 3.3611352 3.3580334 3.3560717 3.3482099 3.340861  3.339867  3.338676
 3.3361108 3.3307574 3.3269417 3.3233347 3.318566  3.3162656 3.3123486
 3.3071074 3.3049293 3.3031266 3.2956495 3.2921238 3.2875414 3.2851555
 3.279516  3.2757208 3.2720294 3.2684896 3.26421   3.2585917 3.2575731
 3.2478724 3.2456443 3.242227  3.2387094 3.2345939 3.2313588 3.2300406
 3.2263043 3.2170146 3.2147937 3.2107525 3.209387  3.2073388 3.2032752
 3.2016418 3.1953197 3.1859205 3.1830485 3.177408  3.1720355 3.169483
 3.1627133 3.1619666 3.1580307 3.1511981 3.1458542 3.141959  3.1390634
 3.134888  3.133851  3.1276917 3.1261415 3.1180167 3.1133747 3.1111505
 3.1076405 3.1006174 3.0965142 3.0873578 3.0788736 3.0782514 3.0753899
 3.068246  3.053789  3.0534654 3.0475864 3.0417616 3.0351837 3.0291083
 3.0234048 3.0169044 3.008147  3.0003786 2.9993112 2.995244  2.9861758
 2.9795196 2.9712603 2.9669316 2.9384375]",2,False
colbert_intermediate,1,"[5.74891   5.1767936 4.943281  4.873189  4.7781696 4.654597  4.462553
 4.395435  4.253412  4.17529   3.9985833 3.8501434 3.7523246 3.744242
 3.7299275 3.7226226 3.7167861 3.6936157 3.6911085 3.6843896 3.683095
 3.6754642 3.664197  3.659199  3.6508174 3.6484346 3.6377316 3.622931
 3.6191056 3.6104012 3.6059983 3.6047723 3.60182   3.5932822 3.5831141
 3.5789437 3.5773263 3.5693758 3.5686738 3.5656857 3.561599  3.5547156
 3.5496712 3.5467777 3.5402896 3.5352442 3.5304456 3.5272367 3.5169182
 3.512051  3.5087552 3.5053782 3.5037074 3.495165  3.488726  3.484678
 3.4803033 3.4791007 3.4755986 3.4693384 3.465554  3.457468  3.4545443
 3.450819  3.4470086 3.4408324 3.4400442 3.4360747 3.428174  3.4262524
 3.4228745 3.4173326 3.4143963 3.4073837 3.4048126 3.4039688 3.3946006
 3.3926628 3.3875442 3.3861012 3.3791728 3.378034  3.374317  3.3734844
 3.3678858 3.3634484 3.361131  3.3565667 3.3532984 3.3505082 3.3486068
 3.3417535 3.3395684 3.3358295 3.3339434 3.3253963 3.3243184 3.3191605
 3.316566  3.3148105 3.3138614 3.3072672 3.305138  3.2998676 3.2953572
 3.291819  3.2843113 3.2813065 3.2799647 3.2768667 3.2725759 3.2674136
 3.266303  3.261983  3.2560506 3.2554004 3.2524176 3.249478  3.2453728
 3.242759  3.232895  3.229249  3.2278383 3.2255278 3.2190268 3.2141082
 3.21227   3.207064  3.2001417 3.198539  3.1968722 3.1949062 3.191965
 3.187735  3.1838617 3.1787632 3.1771872 3.1723106 3.1716692 3.1693435
 3.165685  3.1610646 3.158983  3.1511009 3.1502821 3.1447334 3.143781
 3.1410608 3.1379573 3.1340723 3.131062  3.128505  3.1232796 3.1226268
 3.1169016 3.1144905 3.1102726 3.106618  3.1041389 3.1009505 3.0987842
 3.093368  3.0928504 3.088824  3.0875108 3.0848746 3.078297  3.075155
 3.0734024 3.0674226 3.0665212 3.0627027 3.0615764 3.0579934 3.0574386
 3.0545745 3.0474463 3.0445163 3.0430033 3.0407076 3.0362387 3.0313737
 3.0310075 3.0277333 3.0202754 3.0188918 3.0156384 3.0120964 3.008662
 3.0074563 3.0033345 2.9996412 2.9937234 2.9931233 2.9905975 2.9849105
 2.981199  2.9798727 2.979191  2.9766803 2.9698956 2.9686604 2.9654167
 2.95942   2.9565291 2.953199  2.9510713 2.9471345 2.9448776 2.942679
 2.9395595 2.9374244 2.9304802 2.9270983 2.9249456 2.9237375 2.9186552
 2.9172966 2.9161026 2.912422  2.9079251 2.906193  2.900901  2.8982608
 2.896761  2.8929806 2.8900235 2.887641  2.8834455 2.8802207 2.8737872
 2.8715556 2.868077  2.8630486 2.8610532 2.8571534 2.8564022 2.8540435
 2.8475573 2.8458154 2.8433251 2.8398252 2.836624  2.8346386 2.8313682
 2.8254344 2.8242035 2.8213265 2.8158116 2.8151712 2.8122847 2.8094687
 2.8074386 2.8028145 2.7961566 2.7931538 2.7897973 2.7882318 2.7868667
 2.7773318 2.7760482 2.7736948 2.770375  2.7683964 2.7636511 2.7605085
 2.7555335 2.7541711 2.7527509 2.7472758 2.742395  2.7377803 2.736386
 2.7341952 2.7328627 2.725921  2.7243714 2.720643  2.71838   2.7123785
 2.709298  2.7066288 2.7022002 2.698662  2.6962137 2.692078  2.6870904
 2.6858206 2.683768  2.6808171 2.6768937 2.6751745 2.6721408 2.6663775
 2.6633458 2.6621826 2.659597  2.6546447 2.652057  2.6514962 2.6490061
 2.6456232 2.6397398 2.637149  2.633908  2.6306813 2.6222458 2.6218576
 2.6173868 2.6161573 2.6113923 2.6072102 2.6007237 2.596246  2.592699
 2.5910695 2.5891006 2.5833445 2.5810034 2.5781028 2.5733485 2.5690632
 2.5657322 2.560968  2.555972  2.5547051 2.5504735 2.549822  2.5450332
 2.54086   2.5371323 2.5312138 2.528984  2.5255241 2.5196476 2.5152736
 2.5140367 2.5126238 2.5096505 2.5014575 2.4953718 2.4934757 2.489384
 2.4868243 2.4829197 2.4802015 2.4709167 2.4661193 2.4648993 2.4612079
 2.457586  2.4564304 2.4532905 2.4443805 2.4398918 2.4355354 2.429658
 2.4276328 2.4205096 2.4150336 2.4143522 2.4119182 2.4023015 2.3994658
 2.3975124 2.389338  2.378265  2.373731  2.3716187 2.367353  2.365663
 2.3605585 2.352304  2.3487275 2.3402948 2.333165  2.3307688 2.3255062
 2.317707  2.3156035 2.3005848 2.2881634 2.2752943 2.26148  ]",0,False
colbert_intermediate,1,[4.6565394  4.3459787  4.303322   ... 0.6338355  0.62613    0.61868536],1,False
colbert_intermediate,1,"[5.7474513 5.649864  5.462128  5.284252  5.038567  4.926645  4.877808
 4.7372565 4.648546  4.558296  4.4747877 4.4228845 4.347199  4.331709
 4.2985954 4.2839518 4.2728972 4.2529697 4.243859  4.2328706 4.225704
 4.2191834 4.2108707 4.2008967 4.1928635 4.183021  4.1789846 4.1741934
 4.170451  4.153341  4.1497326 4.140542  4.1355715 4.131793  4.1287107
 4.1230097 4.1181884 4.1092715 4.0977025 4.09058   4.085857  4.082331
 4.07738   4.0700064 4.06388   4.0556316 4.0545664 4.051702  4.045694
 4.0388703 4.0370483 4.0338607 4.0269766 4.022003  4.0131307 4.0100093
 4.0075927 4.0019584 3.9959526 3.9902442 3.9860234 3.9779406 3.9753802
 3.973123  3.963184  3.9602125 3.958585  3.9521573 3.9474902 3.9453073
 3.9450665 3.9348419 3.9288015 3.9242673 3.922011  3.918305  3.9155736
 3.9095078 3.9052513 3.8963218 3.8923492 3.886511  3.884657  3.8818612
 3.8755748 3.8730419 3.869454  3.86764   3.8644269 3.8636951 3.8601148
 3.8530452 3.8453074 3.8427927 3.8403058 3.8312361 3.8275592 3.8250198
 3.8195927 3.8129735 3.8101666 3.8082762 3.8036106 3.7972531 3.792114
 3.787281  3.784411  3.781684  3.7769082 3.7734869 3.7673993 3.759632
 3.7549493 3.7543793 3.7523987 3.74822   3.7453206 3.74178   3.734815
 3.7331245 3.7279203 3.721904  3.7206886 3.7168627 3.711713  3.7052724
 3.700773  3.6968784 3.6923985 3.6905158 3.6857636 3.6803954 3.6786385
 3.6766205 3.6712136 3.6689897 3.6667657 3.658738  3.6576924 3.654567
 3.6500971 3.6473866 3.6397996 3.6369858 3.6296604 3.627783  3.625744
 3.6232169 3.6173663 3.6139345 3.609374  3.6052604 3.600689  3.5988379
 3.5938005 3.5904777 3.5841708 3.5822392 3.5782895 3.5747817 3.5672638
 3.5626094 3.5583081 3.5559077 3.5536125 3.551279  3.5473495 3.537912
 3.5361724 3.5330582 3.5316586 3.5256846 3.521635  3.5160804 3.511602
 3.5070808 3.5028048 3.4992137 3.4941683 3.4934785 3.4909446 3.489763
 3.482428  3.4795182 3.4717236 3.4683192 3.4631226 3.4591873 3.4547875
 3.4527142 3.445928  3.4405813 3.436468  3.4301167 3.4274795 3.424938
 3.4189727 3.4114113 3.4062777 3.4057086 3.4007688 3.3969831 3.3923676
 3.387433  3.3869665 3.3819623 3.3767066 3.3708906 3.3673809 3.365143
 3.3615572 3.3515592 3.3467548 3.3455923 3.3361251 3.3312852 3.3307726
 3.3255413 3.322574  3.3198433 3.311647  3.3089197 3.304189  3.2984974
 3.2939458 3.2878895 3.2871523 3.2861395 3.2771914 3.2726552 3.266817
 3.2602108 3.2591486 3.250343  3.2431154 3.2364783 3.2300992 3.2232757
 3.2217543 3.2172337 3.210522  3.204905  3.1971447 3.186986  3.1818433
 3.1707034 3.1632729 3.157138  3.1457496 3.1434782 3.134808  3.1256733
 3.1179366 3.1118894 3.1019325 3.0917964]",2,False
colbert_intermediate,2,"[5.8321705 5.41521   5.1755376 5.0104566 4.690268  4.465563  4.42013
 4.308948  4.2455344 4.1526976 3.9815607 3.947991  3.8884115 3.8864458
 3.8457577 3.817602  3.805638  3.795794  3.785281  3.768082  3.7645705
 3.7379909 3.7358456 3.7283823 3.720432  3.711835  3.7074091 3.6956842
 3.6942186 3.6833003 3.6814797 3.6792822 3.6720936 3.6700134 3.65937
 3.6546743 3.6485834 3.643906  3.6372333 3.6306982 3.6285486 3.6236842
 3.6105428 3.6057916 3.6000588 3.5911164 3.5877783 3.5860686 3.576175
 3.5712829 3.5670776 3.562962  3.5582678 3.5505981 3.5483    3.5434096
 3.5362334 3.5351741 3.5286078 3.5224888 3.518509  3.515386  3.510372
 3.5063705 3.501252  3.4992847 3.4919972 3.486917  3.486317  3.4821577
 3.4809687 3.472842  3.4700572 3.4619803 3.458913  3.4552643 3.4521005
 3.4488294 3.4451828 3.4416277 3.4367268 3.4334536 3.431267  3.4254475
 3.4251332 3.4215512 3.4137282 3.4093304 3.4078941 3.39895   3.3957648
 3.3938167 3.3903024 3.384459  3.3831027 3.3806982 3.373722  3.369677
 3.3664088 3.3602    3.354585  3.35379   3.3505397 3.3448126 3.3420353
 3.3403792 3.3362682 3.3305352 3.3276381 3.3213937 3.3205376 3.3177576
 3.3140097 3.3131099 3.31166   3.3089917 3.3032157 3.3006291 3.298687
 3.2939336 3.2916725 3.2884088 3.284521  3.280499  3.276638  3.2731287
 3.2694674 3.2666433 3.2615778 3.2613707 3.255607  3.2511983 3.2490425
 3.246729  3.2438269 3.2412887 3.2376933 3.2351918 3.2264316 3.223042
 3.2195086 3.2147915 3.211487  3.2091815 3.2082903 3.2016652 3.1990976
 3.1960633 3.1942375 3.1935344 3.1895618 3.1877043 3.1820495 3.1787324
 3.1734855 3.171508  3.165962  3.1642306 3.1611302 3.1583881 3.156239
 3.1509929 3.1499982 3.143158  3.1386638 3.1345584 3.1335225 3.1282663
 3.1244862 3.1191587 3.1140869 3.112311  3.1075075 3.103346  3.0986671
 3.0963104 3.0947545 3.0931678 3.090876  3.088743  3.0844138 3.0831273
 3.0776117 3.0724213 3.0721264 3.0673287 3.0622265 3.060789  3.0577931
 3.0555618 3.0528471 3.0472648 3.0448964 3.0397577 3.0368772 3.0331192
 3.0290184 3.0262103 3.0219872 3.0217857 3.0161889 3.0144665 3.0096166
 3.0091238 3.0041132 3.0004563 2.9983208 2.996362  2.9928336 2.9919543
 2.9864283 2.9846966 2.9817483 2.976595  2.9719641 2.9680116 2.9667556
 2.9655983 2.9633205 2.9588816 2.9544723 2.9506092 2.9470663 2.9444528
 2.94231   2.9401963 2.9367013 2.9331207 2.9297063 2.9250078 2.9232697
 2.9161348 2.9128468 2.9089386 2.9084258 2.9023845 2.90078   2.8943324
 2.8934975 2.8883915 2.8875725 2.8863232 2.8844562 2.8818264 2.8784964
 2.8736753 2.8725965 2.8667808 2.8639605 2.862181  2.8590772 2.856928
 2.8534741 2.8522084 2.8474112 2.8460267 2.841198  2.8375769 2.8337417
 2.8310077 2.828942  2.827133  2.823461  2.818531  2.8153775 2.80909
 2.807918  2.80161   2.798833  2.7939684 2.7939186 2.7898707 2.784765
 2.7822433 2.7770197 2.7733417 2.766734  2.76376   2.7607875 2.7578855
 2.7539546 2.75196   2.7502797 2.7469282 2.7411368 2.7382495 2.734135
 2.73004   2.7279603 2.727402  2.7252018 2.720542  2.7185113 2.7127266
 2.7102752 2.7075555 2.7022352 2.6963184 2.6927593 2.6887748 2.6855688
 2.6824746 2.678333  2.6758237 2.6744313 2.6724448 2.6677475 2.6657948
 2.660877  2.6568937 2.6556091 2.653495  2.6496093 2.642642  2.638864
 2.6348069 2.62785   2.6270869 2.6228724 2.6196506 2.6159172 2.6149385
 2.608827  2.605521  2.604095  2.5983477 2.5979753 2.5924988 2.5890398
 2.5860133 2.5831234 2.5775628 2.5736182 2.5711427 2.565951  2.5626264
 2.5570192 2.5548654 2.5506246 2.5495327 2.5460763 2.5377703 2.5354671
 2.5292351 2.522395  2.5155928 2.5139594 2.510927  2.5088618 2.503957
 2.502685  2.4973905 2.4930098 2.486843  2.4819503 2.4799027 2.4678137
 2.4659598 2.4631548 2.4612517 2.4578543 2.4551966 2.449914  2.4417052
 2.4355407 2.4331052 2.4258564 2.422456  2.420246  2.408985  2.4043982
 2.4005733 2.3979018 2.3866656 2.3815303 2.3792148 2.3736703 2.3644319
 2.3576915 2.3509452 2.3453217 2.3374104 2.3203604 2.3078945]",0,False
colbert_intermediate,2,[4.5858727  4.560962   4.435007   ... 0.64948905 0.64174753 0.6374292 ],1,False
colbert_intermediate,2,"[5.8392777 5.610919  5.459443  5.3519044 5.2717705 5.084387  5.012669
 4.718209  4.6516924 4.602281  4.5343323 4.492671  4.4468236 4.423857
 4.42059   4.385119  4.3753805 4.356267  4.3384876 4.328948  4.322307
 4.2926    4.2908244 4.2795525 4.2747445 4.2621017 4.258767  4.2557044
 4.243564  4.241026  4.2273736 4.218223  4.211538  4.2055073 4.199833
 4.1983685 4.193372  4.1859207 4.1767807 4.164888  4.1626353 4.155422
 4.150848  4.1471105 4.140673  4.136953  4.1332946 4.12797   4.1117706
 4.109442  4.1039286 4.102756  4.0976777 4.0947595 4.086962  4.08067
 4.0799317 4.0744452 4.064637  4.05927   4.058175  4.051126  4.0438805
 4.0404162 4.038485  4.0370054 4.029613  4.0256224 4.019175  4.016415
 4.0062966 4.002733  3.9951885 3.9908593 3.9886386 3.9874554 3.9859364
 3.9840062 3.9742038 3.968355  3.9643316 3.958589  3.9562044 3.9518347
 3.9468477 3.9424362 3.937831  3.9354215 3.9281259 3.9217255 3.9134881
 3.9121275 3.9075904 3.9044142 3.9021518 3.8915665 3.8900855 3.8867579
 3.8796349 3.8759937 3.8713317 3.8672776 3.8652575 3.8591862 3.852527
 3.8494124 3.8443463 3.839032  3.8361962 3.8322728 3.8270729 3.8251467
 3.822999  3.8162985 3.8134198 3.8084817 3.8062818 3.8031776 3.7952368
 3.7925906 3.7822917 3.7805724 3.7784407 3.7743642 3.7686083 3.7638545
 3.762522  3.7546308 3.7530856 3.7483492 3.7450051 3.7420735 3.737605
 3.735029  3.7306056 3.7265024 3.7230263 3.7208312 3.7167728 3.715515
 3.7079277 3.7045472 3.7013438 3.695845  3.6852245 3.6851792 3.682
 3.6749275 3.6694157 3.6651661 3.6600194 3.6582174 3.6516962 3.6493492
 3.6457145 3.6441886 3.6380444 3.6332276 3.628548  3.6242843 3.622296
 3.6203957 3.608888  3.6077979 3.604234  3.6030734 3.5946474 3.592489
 3.5889304 3.588588  3.5835793 3.5800667 3.5740523 3.567147  3.562662
 3.560432  3.5529838 3.5512242 3.5487247 3.543361  3.5364735 3.5362391
 3.5342352 3.531128  3.5240412 3.5205371 3.517162  3.5095265 3.5074673
 3.5052688 3.4985735 3.4962847 3.4914386 3.4871318 3.4845433 3.480823
 3.4783013 3.4750743 3.4690359 3.4667566 3.4566371 3.454583  3.4484255
 3.445302  3.4398925 3.4362469 3.4315565 3.4290588 3.4228604 3.4211211
 3.4140162 3.408661  3.4030442 3.3997018 3.3935058 3.389476  3.3815615
 3.3776608 3.3719363 3.3713555 3.3657584 3.3593972 3.3529532 3.3514445
 3.346097  3.3436983 3.3398588 3.3342955 3.3268092 3.3226266 3.3110144
 3.3083618 3.3041646 3.3003347 3.2907825 3.2846887 3.2790418 3.275594
 3.2737114 3.2666912 3.2590053 3.2512667 3.2477841 3.2447271 3.2350843
 3.2329118 3.223624  3.217306  3.2080317 3.200513  3.1947193 3.1863
 3.182308  3.1635947 3.162537  3.1198068]",2,False
colbert_intermediate,3,"[5.7730803 5.365627  5.26756   4.9965267 4.775319  4.685734  4.438631
 4.373585  4.285231  4.2314844 4.17166   4.0120344 3.8952115 3.8643644
 3.8572307 3.8447032 3.8272643 3.826265  3.8198488 3.808201  3.8022015
 3.7922144 3.7843058 3.7791364 3.7713974 3.763947  3.7579684 3.7546873
 3.7419543 3.7371752 3.730211  3.725316  3.7186754 3.7132905 3.707336
 3.7021697 3.6947675 3.6921124 3.6862674 3.6775165 3.6686165 3.6676085
 3.658774  3.6582086 3.6513598 3.6434658 3.6420379 3.631894  3.6271296
 3.6225054 3.6196284 3.6183321 3.610146  3.6087062 3.600789  3.5975351
 3.5957057 3.5895793 3.5846858 3.5843847 3.579536  3.57056   3.568417
 3.563321  3.5585685 3.550589  3.540434  3.5394657 3.5367465 3.5314615
 3.5291781 3.5258598 3.5228076 3.5179052 3.516287  3.510418  3.5062115
 3.502475  3.4994485 3.4923058 3.4883904 3.4847603 3.4814131 3.476078
 3.4731514 3.4719803 3.4698658 3.4678478 3.4607873 3.4539163 3.4477005
 3.4407055 3.437228  3.4364448 3.4322472 3.4299145 3.428054  3.4247863
 3.4168673 3.4132314 3.4103172 3.4054086 3.4002075 3.4001563 3.396931
 3.3913934 3.389718  3.3831856 3.3808992 3.374778  3.3725505 3.367513
 3.3660684 3.3641787 3.3600132 3.3559794 3.3508496 3.34758   3.3460355
 3.3437154 3.3400002 3.3358073 3.3295503 3.3283255 3.3256457 3.3219454
 3.318024  3.3133457 3.3088999 3.3062599 3.3033066 3.2977314 3.2944949
 3.2904932 3.2864966 3.283382  3.2786474 3.2758079 3.2719219 3.2702756
 3.265289  3.2639327 3.2605467 3.2581766 3.253999  3.2525303 3.2477522
 3.2433267 3.2382424 3.2339535 3.230623  3.2295132 3.2251482 3.2229478
 3.2178118 3.2129452 3.2086647 3.2041235 3.2014496 3.1986163 3.1977267
 3.1934688 3.192751  3.1901648 3.1839314 3.1825066 3.1791768 3.1767168
 3.1693215 3.1640024 3.1628826 3.1578574 3.154294  3.14964   3.148436
 3.1433427 3.1424417 3.138924  3.135446  3.1334243 3.1299958 3.1252046
 3.1210465 3.1184068 3.1164222 3.1115067 3.1096637 3.1039186 3.1026704
 3.0972025 3.0933833 3.0925493 3.0876703 3.0842373 3.0825067 3.0769777
 3.076501  3.073518  3.070008  3.066967  3.063679  3.062653  3.0604901
 3.0563295 3.053411  3.051489  3.0484154 3.0440552 3.0430143 3.0377507
 3.0323124 3.0284207 3.0261528 3.0204117 3.0187075 3.016061  3.00942
 3.0066614 3.0027857 2.9995186 2.9978616 2.9971337 2.993094  2.9917822
 2.9902756 2.9857411 2.981743  2.9800925 2.977051  2.9720335 2.9697154
 2.9647875 2.963294  2.961409  2.957782  2.9569035 2.9494488 2.9463077
 2.944485  2.9376302 2.9362118 2.931028  2.927226  2.924954  2.919314
 2.917182  2.915156  2.9113066 2.9080946 2.906593  2.9024384 2.8990536
 2.895597  2.8917751 2.8866968 2.883508  2.8815475 2.8750553 2.8734624
 2.8721855 2.8703327 2.8660252 2.8622339 2.8558729 2.85088   2.8506846
 2.8423266 2.8408074 2.8398204 2.8348055 2.8342767 2.8285084 2.8268125
 2.823984  2.8204505 2.8155308 2.8129263 2.8121643 2.806466  2.8040814
 2.7974381 2.7954988 2.7915392 2.7911139 2.7833738 2.7819645 2.7807484
 2.7731025 2.7697167 2.767367  2.7656052 2.763438  2.7606447 2.7574086
 2.7552743 2.752687  2.7497168 2.7445195 2.7419643 2.7380087 2.7341428
 2.729354  2.7259681 2.7220569 2.7192647 2.7159097 2.7127028 2.707758
 2.703942  2.6977859 2.6936529 2.6881983 2.685469  2.683547  2.6773887
 2.6764224 2.674087  2.6726131 2.665883  2.660233  2.6576138 2.653131
 2.6476765 2.6457446 2.6419992 2.6403124 2.636117  2.6328998 2.6298192
 2.6257448 2.6213665 2.61644   2.6154287 2.6097753 2.6052792 2.598578
 2.5971942 2.5920718 2.5867167 2.5824447 2.5815156 2.5743184 2.5720649
 2.5687306 2.5628815 2.5617228 2.557756  2.5546603 2.551733  2.5453637
 2.5423846 2.5350938 2.5326974 2.5284786 2.518985  2.517864  2.513911
 2.5084422 2.504574  2.4980125 2.4962265 2.4923131 2.4862027 2.4790668
 2.4775784 2.4738798 2.4687495 2.460677  2.4551756 2.4441426 2.4339838
 2.4280705 2.4265811 2.4221356 2.410837  2.406015  2.4006164 2.3865275
 2.3806684 2.3709817 2.3697243 2.3617375 2.3594403 2.3547833]",0,True
